role_id,role_label,model_id,scheme_id,fe_label,scenario_id,scenario_label,Province,outcome_actual_mean,actual_pred_mean,counterfactual_pred_mean,actual_minus_counterfactual_mean,relative_change_pct_mean
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,甘肃,-0.44638286543683464,-0.43191821789862794,-0.7017877833644665,0.2698695654658385,38.45458297550393
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,福建,-0.2384496538539977,-0.5501921939215391,-0.7837466304871437,0.2335544365656046,29.79973724677286
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,西藏,-0.28269710808850346,-0.6544030058901904,-0.7584595200889266,0.10405651419873618,13.719455217140123
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,贵州,-0.4790829693250563,-0.07622629654844959,-0.3807534631041252,0.30452716655567563,79.98014360079402
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,辽宁,0.30657071919877493,-0.1498486018589965,-0.43060004370950505,0.28075144185050854,65.20004954758234
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,重庆,-0.5024751960020795,-0.3458947635816488,-0.6434840082843284,0.2975892447026796,46.246564152560495
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,陕西,-0.12321507153616608,-0.3104431151603345,-0.5819690230441423,0.2715259078838078,46.65641935089947
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,青海,-1.0114130680054685,-0.7521117540163571,-0.9156654977931875,0.1635537437768304,17.861734898934753
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,黑龙江,-0.3066492167111761,-0.5444022564906518,-0.7322310681208034,0.18782881163015164,25.651576368125866
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,上海,0.46388439364467193,0.044077282189722844,-0.2693000449808999,0.3133773271706227,116.36735047439336
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,云南,-0.33438085827052333,-0.15760568061412744,-0.09118117194946834,-0.0664245086646591,-72.84893059004645
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,内蒙古,-0.33813603416549953,-0.253856952360505,-0.26423535046734964,0.010378398106844655,3.927709933015593
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,北京,1.2527695248922102,1.05284993318018,0.6486832497238075,0.4041666834563724,62.30570677267466
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,吉林,-0.03094609424209656,-0.17651679046588048,-0.2932424053269807,0.11672561486110022,39.805162125493084
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,四川,-0.3740306703067737,-0.15656046679800273,-0.1706606937080955,0.014100226910092772,8.262140861920047
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,天津,-0.2640461360334078,-0.1866185817262891,-0.2992651578674533,0.11264657614116419,37.64105950184023
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,宁夏,-0.954259210267664,-0.47222155484980716,-0.4329986878245507,-0.03922286702525646,-9.058426302009812
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,安徽,0.09051629723649503,-0.3122136457265261,-0.22880905723010436,-0.08340458849642174,-36.45161144672039
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,山东,-0.25448549577631807,0.3751081289248963,0.415475108705342,-0.04036697978044568,-9.715859972028852
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,山西,-0.4659455597441945,-0.3520477891797399,-0.361889158239219,0.009841369059479133,2.719442911017994
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,广东,0.3157232848392835,-0.21838807329078092,-0.16332077904268533,-0.05506729424809559,-33.71726155782252
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,广西,-0.11116461110844143,-0.309761679165361,-0.27796136553423906,-0.03180031363112196,-11.440551664437992
