fe_label,n_models,mean_score,median_score,top10_mean_score,mean_r1xday,share_r1xday_positive,share_r1xday_sig_005,mean_amc,share_amc_positive,share_amc_sig_005,median_max_vif_z,mean_r2_model,fe_rank_by_top10
Province: No / Year: Yes,10127,0.6533896245498214,0.6574268850277987,0.7867926486099819,0.1049150120997906,0.9960501629307791,0.11503900464105855,0.12079478995438094,1.0,0.9997037622198084,3.232126498346953,0.3945976687865516,1
Province: Yes / Year: No,10127,0.5517488052528097,0.5551585184162523,0.7199829709356066,0.0002729683620028412,0.5299693887627135,0.00039498370692208945,-0.0016193033069794303,0.4179915078503012,0.0,3.232126498346953,0.5594743907401835,2
Province: Yes / Year: Yes,10127,0.4244672398751228,0.4330758793828297,0.530613283306308,-0.007983452012815908,0.12195121951219512,0.0,0.008789116927254615,1.0,0.0,3.232126498346953,0.03074425644649978,3
