parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.009,0.024,-0.04,0.054,0.0,0.0,4349.0,2397.0,1.0,global,,year_only_additive,Year-only additive,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[R1xday],0.126,0.031,0.067,0.186,0.001,0.0,2780.0,2533.0,1.0,main,R1xday,year_only_additive,Year-only additive,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.109,0.027,0.055,0.16,0.0,0.0,3373.0,2331.0,1.0,main,抗菌药物使用强度,year_only_additive,Year-only additive,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.102,0.038,0.028,0.175,0.001,0.001,3143.0,2610.0,1.0,main,TA（°C）,year_only_additive,Year-only additive,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.096,0.032,0.033,0.159,0.001,0.001,2646.0,2493.0,1.0,main,PM2.5,year_only_additive,Year-only additive,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.275,0.037,0.203,0.35,0.001,0.001,2812.0,2288.0,1.0,main,医疗水平,year_only_additive,Year-only additive,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[城市用水普及率],0.049,0.029,-0.003,0.112,0.001,0.001,3352.0,2384.0,1.0,main,城市用水普及率,year_only_additive,Year-only additive,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.194,0.027,0.139,0.246,0.001,0.001,2628.0,2013.0,1.0,main,"牲畜饲养
-猪年底头数",year_only_additive,Year-only additive,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[文盲比例],-0.047,0.03,-0.106,0.013,0.001,0.001,2500.0,2329.0,1.0,main,文盲比例,year_only_additive,Year-only additive,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
sigma_residual,0.416,0.018,0.383,0.453,0.0,0.0,3640.0,2229.0,1.0,global,,year_only_additive,Year-only additive,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
