parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.006,0.093,-0.167,0.183,0.003,0.002,844.0,1362.0,1.0,global,,province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.012,0.021,-0.052,0.031,0.0,0.0,4530.0,2493.0,1.0,main,R1xday,province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.012,0.016,-0.022,0.043,0.0,0.0,4818.0,2614.0,1.0,main,抗菌药物使用强度,province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.031,0.019,-0.006,0.071,0.0,0.0,4691.0,2451.0,1.0,main,TA（°C）,province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.001,0.023,-0.045,0.044,0.0,0.0,3924.0,2690.0,1.0,main,PM2.5,province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.127,0.052,0.019,0.23,0.001,0.001,3684.0,2271.0,1.0,main,医疗水平,province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[生活垃圾无害化处理率],-0.009,0.016,-0.041,0.023,0.0,0.0,3988.0,2250.0,1.0,main,生活垃圾无害化处理率,province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.029,0.063,-0.096,0.145,0.001,0.001,1878.0,1832.0,1.0,main,"牲畜饲养
-猪年底头数",province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[PA（%）],0.014,0.014,-0.015,0.04,0.0,0.0,4082.0,2582.0,1.0,main,PA（%）,province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[食品消费量],-0.038,0.025,-0.086,0.012,0.0,0.0,4247.0,2835.0,1.0,main,食品消费量,province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.017,0.014,-0.013,0.043,0.0,0.0,4492.0,2317.0,1.0,interaction,R1xday × 抗菌药物使用强度,province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
sigma_residual,0.185,0.008,0.171,0.203,0.0,0.0,3145.0,2164.0,1.0,global,,province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
sigma_province,0.492,0.072,0.366,0.633,0.002,0.002,1000.0,1403.0,1.0,global,,province_year_amplification,Province + year amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
