parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.01,0.125,-0.234,0.262,0.005,0.003,636.0,1008.0,1.0,global,,province_only_additive,Province-only additive,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.003,0.025,-0.049,0.048,0.0,0.0,2845.0,1973.0,1.0,main,R1xday,province_only_additive,Province-only additive,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.019,0.021,-0.023,0.06,0.0,0.0,2657.0,2172.0,1.0,main,抗菌药物使用强度,province_only_additive,Province-only additive,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[TA（°C）],-0.028,0.02,-0.066,0.011,0.0,0.0,3067.0,2357.0,1.0,main,TA（°C）,province_only_additive,Province-only additive,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.109,0.028,0.053,0.162,0.001,0.001,2067.0,1690.0,1.0,main,PM2.5,province_only_additive,Province-only additive,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[GDP],-0.186,0.06,-0.299,-0.065,0.002,0.001,1322.0,1957.0,1.0,main,GDP,province_only_additive,Province-only additive,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[城市用水普及率],-0.053,0.026,-0.103,-0.001,0.0,0.0,3048.0,1977.0,1.0,main,城市用水普及率,province_only_additive,Province-only additive,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.143,0.069,0.01,0.28,0.002,0.001,1698.0,1778.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_additive,Province-only additive,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[主要城市降水量],-0.008,0.041,-0.094,0.069,0.001,0.001,2266.0,2121.0,1.0,main,主要城市降水量,province_only_additive,Province-only additive,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[文盲比例],0.121,0.034,0.061,0.189,0.001,0.001,2662.0,2308.0,1.0,main,文盲比例,province_only_additive,Province-only additive,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
sigma_residual,0.247,0.011,0.224,0.269,0.0,0.0,2059.0,2236.0,1.0,global,,province_only_additive,Province-only additive,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
sigma_province,0.668,0.099,0.485,0.866,0.003,0.002,888.0,1157.0,1.0,global,,province_only_additive,Province-only additive,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
