parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.009,0.109,-0.22,0.214,0.005,0.004,474.0,648.0,1.01,global,,province_only_amplification,Province-only amplification,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.011,0.024,-0.055,0.039,0.0,0.0,2444.0,2197.0,1.0,main,R1xday,province_only_amplification,Province-only amplification,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.019,0.02,-0.019,0.057,0.0,0.0,2410.0,2155.0,1.0,main,抗菌药物使用强度,province_only_amplification,Province-only amplification,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.006,0.018,-0.03,0.04,0.0,0.0,2488.0,2359.0,1.0,main,TA（°C）,province_only_amplification,Province-only amplification,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.085,0.026,0.032,0.136,0.001,0.0,2078.0,2042.0,1.0,main,PM2.5,province_only_amplification,Province-only amplification,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[医疗水平],-0.202,0.03,-0.26,-0.14,0.001,0.001,2009.0,1999.0,1.0,main,医疗水平,province_only_amplification,Province-only amplification,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[生活垃圾无害化处理率],-0.059,0.019,-0.096,-0.023,0.0,0.0,2302.0,2153.0,1.0,main,生活垃圾无害化处理率,province_only_amplification,Province-only amplification,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.154,0.064,0.028,0.273,0.002,0.001,1063.0,1526.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_amplification,Province-only amplification,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[食品消费量],0.018,0.029,-0.04,0.074,0.001,0.001,2001.0,2068.0,1.0,main,食品消费量,province_only_amplification,Province-only amplification,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.034,0.017,-0.002,0.066,0.0,0.0,2548.0,2213.0,1.0,interaction,R1xday × 抗菌药物使用强度,province_only_amplification,Province-only amplification,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
sigma_residual,0.23,0.01,0.21,0.25,0.0,0.0,2243.0,2150.0,1.0,global,,province_only_amplification,Province-only amplification,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
sigma_province,0.611,0.089,0.45,0.784,0.004,0.002,564.0,1260.0,1.01,global,,province_only_amplification,Province-only amplification,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
