parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.009,0.024,-0.036,0.055,0.0,0.0,3876.0,2473.0,1.0,global,,year_only_amplification,Year-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[R1xday],0.143,0.032,0.081,0.205,0.001,0.0,2969.0,2513.0,1.0,main,R1xday,year_only_amplification,Year-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.116,0.028,0.062,0.173,0.0,0.0,4184.0,2928.0,1.0,main,抗菌药物使用强度,year_only_amplification,Year-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.139,0.036,0.073,0.21,0.001,0.001,3172.0,2449.0,1.0,main,TA（°C）,year_only_amplification,Year-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.122,0.031,0.06,0.18,0.001,0.001,3543.0,2537.0,1.0,main,PM2.5,year_only_amplification,Year-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.281,0.039,0.208,0.363,0.001,0.001,3368.0,2581.0,1.0,main,医疗水平,year_only_amplification,Year-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[生活垃圾无害化处理率],-0.014,0.03,-0.074,0.043,0.0,0.001,3923.0,2481.0,1.0,main,生活垃圾无害化处理率,year_only_amplification,Year-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.184,0.028,0.133,0.239,0.0,0.0,4444.0,2614.0,1.0,main,"牲畜饲养
-猪年底头数",year_only_amplification,Year-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[PA（%）],0.021,0.029,-0.034,0.078,0.001,0.0,3243.0,2443.0,1.0,main,PA（%）,year_only_amplification,Year-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[食品消费量],-0.013,0.033,-0.079,0.048,0.001,0.001,2862.0,2421.0,1.0,main,食品消费量,year_only_amplification,Year-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.013,0.027,-0.041,0.066,0.0,0.0,4032.0,2529.0,1.0,interaction,R1xday × 抗菌药物使用强度,year_only_amplification,Year-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
sigma_residual,0.421,0.018,0.388,0.456,0.0,0.0,4830.0,2562.0,1.01,global,,year_only_amplification,Year-only amplification,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
