parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.013,0.089,-0.158,0.189,0.003,0.002,908.0,1411.0,1.0,global,,province_year_additive,Province + year additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[R1xday],0.0,0.02,-0.038,0.039,0.0,0.0,4396.0,2191.0,1.0,main,R1xday,province_year_additive,Province + year additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.008,0.016,-0.022,0.039,0.0,0.0,4679.0,2074.0,1.0,main,抗菌药物使用强度,province_year_additive,Province + year additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.025,0.019,-0.013,0.062,0.0,0.0,4017.0,1974.0,1.0,main,TA（°C）,province_year_additive,Province + year additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[PM2.5],-0.002,0.023,-0.044,0.044,0.0,0.0,3792.0,2291.0,1.0,main,PM2.5,province_year_additive,Province + year additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.129,0.05,0.028,0.225,0.001,0.001,3170.0,2471.0,1.0,main,医疗水平,province_year_additive,Province + year additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[城市用水普及率],0.005,0.02,-0.033,0.045,0.0,0.0,4577.0,2623.0,1.0,main,城市用水普及率,province_year_additive,Province + year additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.035,0.061,-0.086,0.153,0.001,0.001,1799.0,2069.0,1.0,main,"牲畜饲养
-猪年底头数",province_year_additive,Province + year additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[食品消费量],-0.034,0.026,-0.086,0.013,0.0,0.0,3193.0,2219.0,1.0,main,食品消费量,province_year_additive,Province + year additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
sigma_residual,0.185,0.008,0.169,0.202,0.0,0.0,3239.0,2252.0,1.0,global,,province_year_additive,Province + year additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
sigma_province,0.484,0.071,0.362,0.631,0.002,0.002,847.0,1292.0,1.0,global,,province_year_additive,Province + year additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
