parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.009,0.024,-0.038,0.055,0.0,0.0,4190.0,2346.0,1.0,global,,year_only_amplification,Year-only amplification,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[R1xday],0.12,0.03,0.059,0.178,0.001,0.0,2956.0,2741.0,1.0,main,R1xday,year_only_amplification,Year-only amplification,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.098,0.028,0.045,0.153,0.0,0.0,3424.0,2082.0,1.0,main,抗菌药物使用强度,year_only_amplification,Year-only amplification,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.102,0.036,0.031,0.172,0.001,0.001,3896.0,2571.0,1.0,main,TA（°C）,year_only_amplification,Year-only amplification,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.098,0.032,0.037,0.16,0.001,0.001,3021.0,2530.0,1.0,main,PM2.5,year_only_amplification,Year-only amplification,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.256,0.038,0.181,0.328,0.001,0.001,3391.0,2636.0,1.0,main,医疗水平,year_only_amplification,Year-only amplification,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
"beta_main[饮用水
供水综合生产能力(万立方米/日)]",0.078,0.027,0.021,0.128,0.0,0.0,3792.0,2416.0,1.0,main,"饮用水
供水综合生产能力(万立方米/日)",year_only_amplification,Year-only amplification,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.156,0.027,0.104,0.21,0.0,0.0,3878.0,2837.0,1.0,main,"牲畜饲养
-猪年底头数",year_only_amplification,Year-only amplification,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[文盲比例],-0.038,0.033,-0.1,0.027,0.001,0.001,3363.0,2604.0,1.0,main,文盲比例,year_only_amplification,Year-only amplification,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.013,0.026,-0.037,0.065,0.0,0.0,4052.0,2621.0,1.0,interaction,R1xday × 抗菌药物使用强度,year_only_amplification,Year-only amplification,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
sigma_residual,0.414,0.017,0.379,0.447,0.0,0.0,3663.0,2282.0,1.0,global,,year_only_amplification,Year-only amplification,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
