parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.009,0.024,-0.036,0.056,0.0,0.0,4940.0,2921.0,1.0,global,,year_only_additive,Year-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[R1xday],0.153,0.031,0.094,0.216,0.0,0.0,3910.0,3114.0,1.0,main,R1xday,year_only_additive,Year-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.113,0.028,0.059,0.168,0.0,0.0,4442.0,2807.0,1.0,main,抗菌药物使用强度,year_only_additive,Year-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.13,0.035,0.064,0.2,0.001,0.001,4110.0,3045.0,1.0,main,TA（°C）,year_only_additive,Year-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.122,0.031,0.065,0.187,0.0,0.0,4257.0,3074.0,1.0,main,PM2.5,year_only_additive,Year-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.287,0.038,0.21,0.358,0.001,0.001,3220.0,2607.0,1.0,main,医疗水平,year_only_additive,Year-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[生活垃圾无害化处理率],-0.012,0.03,-0.071,0.044,0.0,0.0,3926.0,3010.0,1.0,main,生活垃圾无害化处理率,year_only_additive,Year-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.182,0.027,0.124,0.23,0.0,0.001,5012.0,3107.0,1.0,main,"牲畜饲养
-猪年底头数",year_only_additive,Year-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[食品消费量],-0.008,0.031,-0.069,0.053,0.001,0.0,3503.0,2920.0,1.0,main,食品消费量,year_only_additive,Year-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
sigma_residual,0.421,0.018,0.385,0.455,0.0,0.0,4397.0,2743.0,1.0,global,,year_only_additive,Year-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
