parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.004,0.111,-0.222,0.216,0.005,0.004,420.0,666.0,1.01,global,,province_only_amplification,Province-only amplification,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.013,0.024,-0.061,0.032,0.001,0.0,2036.0,2317.0,1.0,main,R1xday,province_only_amplification,Province-only amplification,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.009,0.021,-0.031,0.048,0.0,0.0,2353.0,1990.0,1.0,main,抗菌药物使用强度,province_only_amplification,Province-only amplification,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.006,0.019,-0.03,0.045,0.0,0.0,2017.0,1759.0,1.0,main,TA（°C）,province_only_amplification,Province-only amplification,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.084,0.027,0.036,0.141,0.001,0.0,1921.0,1779.0,1.0,main,PM2.5,province_only_amplification,Province-only amplification,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[医疗水平],-0.237,0.03,-0.295,-0.176,0.001,0.001,1731.0,2142.0,1.0,main,医疗水平,province_only_amplification,Province-only amplification,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[城市用水普及率],-0.02,0.025,-0.066,0.033,0.001,0.0,1932.0,2127.0,1.0,main,城市用水普及率,province_only_amplification,Province-only amplification,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.129,0.064,-0.001,0.253,0.002,0.001,1106.0,1404.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_amplification,Province-only amplification,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[食品消费量],0.025,0.028,-0.03,0.083,0.001,0.001,1903.0,2047.0,1.0,main,食品消费量,province_only_amplification,Province-only amplification,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.03,0.017,-0.003,0.064,0.0,0.0,2130.0,2118.0,1.0,interaction,R1xday × 抗菌药物使用强度,province_only_amplification,Province-only amplification,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
sigma_residual,0.233,0.01,0.214,0.254,0.0,0.0,2051.0,1896.0,1.0,global,,province_only_amplification,Province-only amplification,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
sigma_province,0.624,0.085,0.47,0.799,0.003,0.002,600.0,950.0,1.0,global,,province_only_amplification,Province-only amplification,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
