parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.012,0.092,-0.163,0.201,0.003,0.002,874.0,1136.0,1.0,global,,province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.012,0.02,-0.053,0.026,0.0,0.0,4744.0,2579.0,1.0,main,R1xday,province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.011,0.016,-0.023,0.041,0.0,0.0,4771.0,2401.0,1.0,main,抗菌药物使用强度,province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.031,0.019,-0.005,0.067,0.0,0.0,4513.0,2533.0,1.0,main,TA（°C）,province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[PM2.5],-0.0,0.022,-0.043,0.043,0.0,0.0,4569.0,2690.0,1.0,main,PM2.5,province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.123,0.051,0.023,0.224,0.001,0.001,3278.0,2288.0,1.0,main,医疗水平,province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[城市用水普及率],0.001,0.021,-0.042,0.041,0.0,0.0,4990.0,2365.0,1.0,main,城市用水普及率,province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.024,0.064,-0.107,0.142,0.001,0.001,2001.0,2140.0,1.01,main,"牲畜饲养
-猪年底头数",province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[PA（%）],0.013,0.014,-0.016,0.037,0.0,0.0,4742.0,2180.0,1.0,main,PA（%）,province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[食品消费量],-0.037,0.025,-0.086,0.012,0.0,0.0,4195.0,2555.0,1.0,main,食品消费量,province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.016,0.015,-0.011,0.045,0.0,0.0,4847.0,2272.0,1.0,interaction,R1xday × 抗菌药物使用强度,province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
sigma_residual,0.185,0.009,0.169,0.203,0.0,0.0,2915.0,1845.0,1.0,global,,province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
sigma_province,0.492,0.071,0.369,0.642,0.002,0.002,1009.0,1435.0,1.0,global,,province_year_amplification,Province + year amplification,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
