parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.019,0.118,-0.216,0.251,0.005,0.003,509.0,840.0,1.0,global,,province_only_additive,Province-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.002,0.022,-0.045,0.042,0.0,0.0,2656.0,1923.0,1.0,main,R1xday,province_only_additive,Province-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.004,0.02,-0.036,0.043,0.0,0.0,2889.0,1881.0,1.0,main,抗菌药物使用强度,province_only_additive,Province-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.004,0.019,-0.034,0.04,0.0,0.0,3062.0,2401.0,1.0,main,TA（°C）,province_only_additive,Province-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.069,0.026,0.021,0.119,0.001,0.0,2429.0,2255.0,1.0,main,PM2.5,province_only_additive,Province-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[医疗水平],-0.229,0.031,-0.289,-0.167,0.001,0.001,2674.0,2192.0,1.0,main,医疗水平,province_only_additive,Province-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
"beta_main[饮用水
供水综合生产能力(万立方米/日)]",-0.044,0.06,-0.164,0.073,0.002,0.001,1560.0,1692.0,1.0,main,"饮用水
供水综合生产能力(万立方米/日)",province_only_additive,Province-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.148,0.063,0.019,0.27,0.002,0.001,1399.0,1733.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_additive,Province-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
beta_main[文盲比例],0.066,0.032,-0.001,0.127,0.001,0.001,2325.0,1704.0,1.0,main,文盲比例,province_only_additive,Province-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
sigma_residual,0.231,0.01,0.212,0.251,0.0,0.0,2176.0,1887.0,1.0,global,,province_only_additive,Province-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
sigma_province,0.64,0.09,0.482,0.825,0.003,0.002,899.0,1442.0,1.0,global,,province_only_additive,Province-only additive,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes
