parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.01,0.024,-0.038,0.058,0.0,0.0,4302.0,2262.0,1.0,global,,year_only_additive,Year-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[R1xday],0.141,0.031,0.079,0.2,0.001,0.001,3174.0,2313.0,1.0,main,R1xday,year_only_additive,Year-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.116,0.028,0.062,0.171,0.0,0.001,4537.0,2262.0,1.0,main,抗菌药物使用强度,year_only_additive,Year-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.116,0.036,0.05,0.189,0.001,0.001,3065.0,2325.0,1.0,main,TA（°C）,year_only_additive,Year-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.108,0.032,0.045,0.169,0.001,0.001,2663.0,2312.0,1.0,main,PM2.5,year_only_additive,Year-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.286,0.038,0.217,0.363,0.001,0.001,3391.0,2374.0,1.0,main,医疗水平,year_only_additive,Year-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[城市用水普及率],0.047,0.03,-0.014,0.102,0.001,0.0,3058.0,2500.0,1.0,main,城市用水普及率,year_only_additive,Year-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.193,0.027,0.14,0.246,0.0,0.0,3266.0,2406.0,1.0,main,"牲畜饲养
-猪年底头数",year_only_additive,Year-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[食品消费量],0.002,0.031,-0.056,0.064,0.001,0.0,3034.0,2507.0,1.0,main,食品消费量,year_only_additive,Year-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
sigma_residual,0.418,0.018,0.383,0.452,0.0,0.0,3764.0,1983.0,1.0,global,,year_only_additive,Year-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
