parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.006,0.101,-0.189,0.21,0.004,0.003,558.0,953.0,1.01,global,,province_only_amplification,Province-only amplification,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.003,0.022,-0.048,0.039,0.0,0.0,2709.0,2203.0,1.0,main,R1xday,province_only_amplification,Province-only amplification,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.013,0.018,-0.022,0.05,0.0,0.0,2318.0,2001.0,1.0,main,抗菌药物使用强度,province_only_amplification,Province-only amplification,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.005,0.017,-0.027,0.037,0.0,0.0,2527.0,2256.0,1.0,main,TA（°C）,province_only_amplification,Province-only amplification,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes
beta_main[氮氧化物],0.246,0.033,0.189,0.315,0.001,0.001,2252.0,2061.0,1.01,main,氮氧化物,province_only_amplification,Province-only amplification,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes
beta_main[医疗水平],-0.15,0.03,-0.206,-0.091,0.001,0.001,2207.0,2092.0,1.0,main,医疗水平,province_only_amplification,Province-only amplification,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes
beta_main[人均日生活用水量(升)],-0.004,0.043,-0.091,0.079,0.001,0.001,1634.0,2008.0,1.0,main,人均日生活用水量(升),province_only_amplification,Province-only amplification,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.095,0.06,-0.025,0.209,0.002,0.001,1560.0,1634.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_amplification,Province-only amplification,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes
beta_main[文盲比例],0.062,0.031,0.003,0.123,0.001,0.001,2494.0,1894.0,1.0,main,文盲比例,province_only_amplification,Province-only amplification,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.03,0.016,-0.001,0.064,0.0,0.0,2962.0,2324.0,1.0,interaction,R1xday × 抗菌药物使用强度,province_only_amplification,Province-only amplification,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes
sigma_residual,0.214,0.01,0.197,0.235,0.0,0.0,2409.0,1980.0,1.0,global,,province_only_amplification,Province-only amplification,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes
sigma_province,0.574,0.082,0.428,0.74,0.003,0.002,781.0,1349.0,1.0,global,,province_only_amplification,Province-only amplification,SYS_08952 | Province: No / Year: Yes,SYS_08952,systematic,Province: No / Year: Yes
