parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.007,0.113,-0.215,0.231,0.006,0.003,389.0,613.0,1.02,global,,province_only_additive,Province-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[R1xday],0.006,0.022,-0.039,0.048,0.0,0.0,2383.0,1908.0,1.0,main,R1xday,province_only_additive,Province-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.012,0.02,-0.027,0.049,0.0,0.0,2433.0,2432.0,1.0,main,抗菌药物使用强度,province_only_additive,Province-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.003,0.018,-0.034,0.038,0.0,0.0,2288.0,2095.0,1.0,main,TA（°C）,province_only_additive,Province-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.085,0.026,0.032,0.135,0.001,0.0,2031.0,2012.0,1.0,main,PM2.5,province_only_additive,Province-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[医疗水平],-0.209,0.031,-0.266,-0.149,0.001,0.001,1745.0,2250.0,1.0,main,医疗水平,province_only_additive,Province-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[生活垃圾无害化处理率],-0.055,0.019,-0.09,-0.018,0.0,0.0,2356.0,2070.0,1.0,main,生活垃圾无害化处理率,province_only_additive,Province-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.151,0.063,0.024,0.267,0.002,0.001,1024.0,1539.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_additive,Province-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
beta_main[食品消费量],0.015,0.029,-0.038,0.074,0.001,0.001,2105.0,2159.0,1.0,main,食品消费量,province_only_additive,Province-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
sigma_residual,0.231,0.01,0.212,0.251,0.0,0.0,2340.0,2380.0,1.0,global,,province_only_additive,Province-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
sigma_province,0.602,0.085,0.445,0.764,0.003,0.002,702.0,1255.0,1.02,global,,province_only_additive,Province-only additive,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes
