parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.009,0.082,-0.153,0.176,0.002,0.002,1136.0,1560.0,1.0,global,,province_year_additive,Province + year additive,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_main[R1xday],0.001,0.019,-0.036,0.037,0.0,0.0,4643.0,2550.0,1.0,main,R1xday,province_year_additive,Province + year additive,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.012,0.016,-0.017,0.045,0.0,0.0,4496.0,2269.0,1.0,main,抗菌药物使用强度,province_year_additive,Province + year additive,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.025,0.019,-0.014,0.06,0.0,0.0,4641.0,2365.0,1.0,main,TA（°C）,province_year_additive,Province + year additive,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.004,0.023,-0.036,0.053,0.0,0.0,3916.0,2715.0,1.0,main,PM2.5,province_year_additive,Province + year additive,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.147,0.05,0.054,0.244,0.001,0.001,2819.0,2335.0,1.0,main,医疗水平,province_year_additive,Province + year additive,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
"beta_main[卫生程度
（日污水处理能力）]",0.088,0.05,-0.013,0.186,0.001,0.001,2293.0,1900.0,1.0,main,"卫生程度
（日污水处理能力）",province_year_additive,Province + year additive,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.035,0.059,-0.085,0.147,0.001,0.001,1710.0,1869.0,1.0,main,"牲畜饲养
-猪年底头数",province_year_additive,Province + year additive,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_main[食品消费量],-0.032,0.025,-0.078,0.017,0.0,0.0,4072.0,2578.0,1.0,main,食品消费量,province_year_additive,Province + year additive,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
sigma_residual,0.185,0.008,0.17,0.203,0.0,0.0,2939.0,2047.0,1.0,global,,province_year_additive,Province + year additive,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
sigma_province,0.452,0.068,0.337,0.592,0.002,0.002,756.0,1114.0,1.0,global,,province_year_additive,Province + year additive,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
