parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.009,0.114,-0.212,0.229,0.005,0.003,536.0,946.0,1.01,global,,province_only_amplification,Province-only amplification,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.016,0.024,-0.062,0.031,0.001,0.0,2212.0,2355.0,1.0,main,R1xday,province_only_amplification,Province-only amplification,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.011,0.02,-0.028,0.049,0.0,0.0,2969.0,1824.0,1.0,main,抗菌药物使用强度,province_only_amplification,Province-only amplification,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.005,0.019,-0.032,0.041,0.0,0.0,2731.0,2256.0,1.0,main,TA（°C）,province_only_amplification,Province-only amplification,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.07,0.026,0.018,0.12,0.001,0.001,1951.0,1880.0,1.0,main,PM2.5,province_only_amplification,Province-only amplification,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[医疗水平],-0.215,0.032,-0.276,-0.149,0.001,0.001,2255.0,2309.0,1.0,main,医疗水平,province_only_amplification,Province-only amplification,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[城市用水普及率],-0.017,0.025,-0.065,0.032,0.0,0.0,2716.0,2323.0,1.0,main,城市用水普及率,province_only_amplification,Province-only amplification,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.137,0.063,0.007,0.252,0.002,0.001,1384.0,1630.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_amplification,Province-only amplification,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_main[文盲比例],0.069,0.032,0.006,0.132,0.001,0.001,2086.0,1680.0,1.0,main,文盲比例,province_only_amplification,Province-only amplification,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.03,0.018,-0.007,0.063,0.0,0.0,2115.0,2126.0,1.0,interaction,R1xday × 抗菌药物使用强度,province_only_amplification,Province-only amplification,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
sigma_residual,0.231,0.011,0.21,0.253,0.0,0.0,2258.0,1979.0,1.0,global,,province_only_amplification,Province-only amplification,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
sigma_province,0.627,0.087,0.477,0.805,0.004,0.002,605.0,1195.0,1.0,global,,province_only_amplification,Province-only amplification,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes
