parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.01,0.026,-0.038,0.061,0.0,0.0,4027.0,2252.0,1.0,global,,year_only_additive,Year-only additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes
beta_main[R1xday],0.174,0.035,0.104,0.242,0.001,0.001,3086.0,2357.0,1.0,main,R1xday,year_only_additive,Year-only additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.115,0.03,0.059,0.176,0.0,0.001,4112.0,2267.0,1.0,main,抗菌药物使用强度,year_only_additive,Year-only additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.084,0.038,0.014,0.159,0.001,0.001,3246.0,2140.0,1.0,main,TA（°C）,year_only_additive,Year-only additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.053,0.034,-0.012,0.119,0.001,0.001,2911.0,2588.0,1.0,main,PM2.5,year_only_additive,Year-only additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes
beta_main[GDP],0.163,0.035,0.099,0.239,0.001,0.001,2852.0,2208.0,1.0,main,GDP,year_only_additive,Year-only additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes
beta_main[城市用水普及率],0.015,0.032,-0.048,0.078,0.001,0.001,3184.0,2315.0,1.0,main,城市用水普及率,year_only_additive,Year-only additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.104,0.033,0.043,0.169,0.001,0.001,3300.0,2633.0,1.0,main,"牲畜饲养
-猪年底头数",year_only_additive,Year-only additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes
beta_main[主要城市降水量],-0.145,0.034,-0.208,-0.077,0.001,0.001,2987.0,2433.0,1.0,main,主要城市降水量,year_only_additive,Year-only additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes
beta_main[食品消费量],-0.039,0.033,-0.102,0.025,0.001,0.001,3457.0,2589.0,1.0,main,食品消费量,year_only_additive,Year-only additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes
sigma_residual,0.439,0.018,0.402,0.472,0.0,0.0,2831.0,2140.0,1.0,global,,year_only_additive,Year-only additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes
