parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.012,0.118,-0.225,0.221,0.006,0.004,375.0,558.0,1.01,global,,province_only_additive,Province-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[R1xday],0.002,0.023,-0.041,0.047,0.0,0.0,2393.0,2231.0,1.0,main,R1xday,province_only_additive,Province-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.004,0.02,-0.036,0.04,0.0,0.0,2253.0,2161.0,1.0,main,抗菌药物使用强度,province_only_additive,Province-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.004,0.019,-0.034,0.042,0.0,0.0,2277.0,1808.0,1.0,main,TA（°C）,province_only_additive,Province-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.085,0.027,0.036,0.139,0.001,0.0,1673.0,1990.0,1.0,main,PM2.5,province_only_additive,Province-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[医疗水平],-0.241,0.031,-0.301,-0.181,0.001,0.001,1947.0,2085.0,1.0,main,医疗水平,province_only_additive,Province-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[城市用水普及率],-0.015,0.025,-0.063,0.031,0.001,0.0,1948.0,2084.0,1.0,main,城市用水普及率,province_only_additive,Province-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.134,0.065,0.004,0.255,0.002,0.001,804.0,1069.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_additive,Province-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
beta_main[食品消费量],0.022,0.029,-0.035,0.077,0.001,0.001,1665.0,1595.0,1.0,main,食品消费量,province_only_additive,Province-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
sigma_residual,0.234,0.01,0.215,0.255,0.0,0.0,2106.0,1933.0,1.0,global,,province_only_additive,Province-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
sigma_province,0.618,0.085,0.459,0.782,0.003,0.002,592.0,1146.0,1.01,global,,province_only_additive,Province-only additive,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes
