parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.01,0.025,-0.036,0.062,0.0,0.001,4218.0,2135.0,1.0,global,,year_only_amplification,Year-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[R1xday],0.154,0.036,0.079,0.221,0.001,0.001,2667.0,2366.0,1.0,main,R1xday,year_only_amplification,Year-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.103,0.029,0.049,0.163,0.0,0.0,3772.0,2609.0,1.0,main,抗菌药物使用强度,year_only_amplification,Year-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.053,0.039,-0.022,0.129,0.001,0.001,3501.0,2177.0,1.0,main,TA（°C）,year_only_amplification,Year-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.017,0.033,-0.048,0.08,0.001,0.001,3225.0,2525.0,1.0,main,PM2.5,year_only_amplification,Year-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[GDP],0.164,0.034,0.1,0.232,0.001,0.001,3013.0,2427.0,1.0,main,GDP,year_only_amplification,Year-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[城市用水普及率],0.022,0.033,-0.043,0.086,0.001,0.001,3088.0,2757.0,1.0,main,城市用水普及率,year_only_amplification,Year-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.104,0.032,0.046,0.168,0.001,0.001,3168.0,2504.0,1.0,main,"牲畜饲养
-猪年底头数",year_only_amplification,Year-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[主要城市降水量],-0.145,0.033,-0.212,-0.083,0.001,0.001,2923.0,2239.0,1.0,main,主要城市降水量,year_only_amplification,Year-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_main[文盲比例],-0.091,0.031,-0.154,-0.033,0.001,0.001,3013.0,2561.0,1.0,main,文盲比例,year_only_amplification,Year-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.014,0.029,-0.045,0.068,0.0,0.001,3833.0,2236.0,1.0,interaction,R1xday × 抗菌药物使用强度,year_only_amplification,Year-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
sigma_residual,0.434,0.019,0.398,0.47,0.0,0.0,3140.0,2166.0,1.0,global,,year_only_amplification,Year-only amplification,SYS_09557 | Province: No / Year: Yes,SYS_09557,systematic,Province: No / Year: Yes
