parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,-0.004,0.12,-0.26,0.222,0.006,0.004,409.0,476.0,1.01,global,,province_only_additive,Province-only additive,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[R1xday],0.003,0.024,-0.043,0.053,0.0,0.001,2632.0,1965.0,1.0,main,R1xday,province_only_additive,Province-only additive,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.003,0.02,-0.036,0.043,0.0,0.0,2638.0,1845.0,1.0,main,抗菌药物使用强度,province_only_additive,Province-only additive,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.004,0.019,-0.034,0.041,0.0,0.0,2731.0,1873.0,1.0,main,TA（°C）,province_only_additive,Province-only additive,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.085,0.026,0.034,0.135,0.001,0.0,2379.0,2358.0,1.0,main,PM2.5,province_only_additive,Province-only additive,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[医疗水平],-0.242,0.03,-0.298,-0.181,0.001,0.001,2473.0,2401.0,1.0,main,医疗水平,province_only_additive,Province-only additive,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[城市用水普及率],-0.015,0.025,-0.063,0.036,0.001,0.001,2473.0,2111.0,1.0,main,城市用水普及率,province_only_additive,Province-only additive,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.135,0.065,0.006,0.258,0.002,0.001,1365.0,1853.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_additive,Province-only additive,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[PA（%）],-0.002,0.016,-0.033,0.031,0.0,0.0,2606.0,2095.0,1.0,main,PA（%）,province_only_additive,Province-only additive,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
beta_main[食品消费量],0.024,0.03,-0.036,0.083,0.001,0.001,2416.0,1931.0,1.0,main,食品消费量,province_only_additive,Province-only additive,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
sigma_residual,0.234,0.011,0.214,0.256,0.0,0.0,2180.0,1868.0,1.0,global,,province_only_additive,Province-only additive,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
sigma_province,0.621,0.086,0.467,0.8,0.003,0.002,746.0,1155.0,1.0,global,,province_only_additive,Province-only additive,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes
