parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.006,0.125,-0.249,0.249,0.006,0.004,474.0,625.0,1.01,global,,province_only_amplification,Province-only amplification,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.015,0.024,-0.059,0.033,0.0,0.0,2750.0,2163.0,1.0,main,R1xday,province_only_amplification,Province-only amplification,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.007,0.02,-0.03,0.047,0.0,0.0,2481.0,2161.0,1.0,main,抗菌药物使用强度,province_only_amplification,Province-only amplification,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.008,0.019,-0.029,0.043,0.0,0.0,2522.0,2521.0,1.0,main,TA（°C）,province_only_amplification,Province-only amplification,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.081,0.028,0.03,0.136,0.001,0.0,2170.0,2010.0,1.0,main,PM2.5,province_only_amplification,Province-only amplification,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[医疗水平],-0.247,0.029,-0.304,-0.191,0.001,0.001,2273.0,2253.0,1.0,main,医疗水平,province_only_amplification,Province-only amplification,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
"beta_main[饮用水
供水综合生产能力(万立方米/日)]",-0.063,0.06,-0.185,0.05,0.001,0.001,1718.0,1974.0,1.0,main,"饮用水
供水综合生产能力(万立方米/日)",province_only_amplification,Province-only amplification,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.145,0.064,0.016,0.268,0.002,0.001,1496.0,1787.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_amplification,Province-only amplification,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[食品消费量],0.024,0.028,-0.031,0.077,0.001,0.0,2409.0,2279.0,1.0,main,食品消费量,province_only_amplification,Province-only amplification,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.029,0.018,-0.003,0.068,0.0,0.0,2785.0,2561.0,1.0,interaction,R1xday × 抗菌药物使用强度,province_only_amplification,Province-only amplification,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
sigma_residual,0.232,0.01,0.211,0.251,0.0,0.0,2503.0,1940.0,1.0,global,,province_only_amplification,Province-only amplification,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
sigma_province,0.655,0.1,0.478,0.854,0.004,0.003,775.0,1228.0,1.0,global,,province_only_amplification,Province-only amplification,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
