parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.017,0.119,-0.199,0.267,0.005,0.003,538.0,1096.0,1.0,global,,province_only_additive,Province-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.0,0.021,-0.04,0.043,0.0,0.0,2600.0,2583.0,1.0,main,R1xday,province_only_additive,Province-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.002,0.02,-0.04,0.04,0.0,0.0,2447.0,2161.0,1.0,main,抗菌药物使用强度,province_only_additive,Province-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.005,0.019,-0.03,0.043,0.0,0.0,2464.0,2238.0,1.0,main,TA（°C）,province_only_additive,Province-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.082,0.027,0.029,0.133,0.001,0.0,2206.0,2292.0,1.0,main,PM2.5,province_only_additive,Province-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[医疗水平],-0.25,0.029,-0.302,-0.191,0.001,0.0,2159.0,2270.0,1.0,main,医疗水平,province_only_additive,Province-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
"beta_main[饮用水
供水综合生产能力(万立方米/日)]",-0.058,0.059,-0.175,0.058,0.002,0.001,1554.0,1990.0,1.0,main,"饮用水
供水综合生产能力(万立方米/日)",province_only_additive,Province-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.142,0.065,0.013,0.268,0.002,0.001,1068.0,1258.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_additive,Province-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[食品消费量],0.021,0.028,-0.034,0.075,0.001,0.0,2418.0,2355.0,1.0,main,食品消费量,province_only_additive,Province-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
sigma_residual,0.233,0.01,0.214,0.254,0.0,0.0,2371.0,2195.0,1.0,global,,province_only_additive,Province-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
sigma_province,0.638,0.09,0.474,0.822,0.004,0.002,623.0,946.0,1.01,global,,province_only_additive,Province-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
