parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.011,0.108,-0.216,0.211,0.006,0.003,352.0,792.0,1.02,global,,province_only_additive,Province-only additive,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[R1xday],0.004,0.025,-0.046,0.05,0.001,0.0,2037.0,2159.0,1.0,main,R1xday,province_only_additive,Province-only additive,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.013,0.019,-0.026,0.05,0.0,0.0,1953.0,2059.0,1.0,main,抗菌药物使用强度,province_only_additive,Province-only additive,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.005,0.019,-0.032,0.04,0.0,0.0,2224.0,2083.0,1.0,main,TA（°C）,province_only_additive,Province-only additive,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.086,0.026,0.035,0.137,0.001,0.0,1849.0,2004.0,1.0,main,PM2.5,province_only_additive,Province-only additive,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[医疗水平],-0.209,0.031,-0.27,-0.149,0.001,0.001,1489.0,1694.0,1.0,main,医疗水平,province_only_additive,Province-only additive,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[生活垃圾无害化处理率],-0.057,0.019,-0.093,-0.019,0.0,0.0,2248.0,2364.0,1.0,main,生活垃圾无害化处理率,province_only_additive,Province-only additive,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.148,0.065,0.023,0.273,0.002,0.001,1112.0,1345.0,1.0,main,"牲畜饲养
-猪年底头数",province_only_additive,Province-only additive,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[PA（%）],0.005,0.017,-0.03,0.037,0.0,0.0,2041.0,1762.0,1.0,main,PA（%）,province_only_additive,Province-only additive,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
beta_main[食品消费量],0.015,0.029,-0.035,0.078,0.001,0.0,1960.0,1923.0,1.0,main,食品消费量,province_only_additive,Province-only additive,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
sigma_residual,0.231,0.01,0.212,0.252,0.0,0.0,1824.0,1923.0,1.0,global,,province_only_additive,Province-only additive,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
sigma_province,0.606,0.083,0.456,0.779,0.003,0.002,676.0,1000.0,1.0,global,,province_only_additive,Province-only additive,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes
