parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.007,0.083,-0.156,0.166,0.002,0.002,1138.0,1510.0,1.0,global,,province_year_amplification,Province + year amplification,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_main[R1xday],-0.006,0.02,-0.043,0.032,0.0,0.0,4058.0,2533.0,1.0,main,R1xday,province_year_amplification,Province + year amplification,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.015,0.016,-0.015,0.047,0.0,0.0,4796.0,2507.0,1.0,main,抗菌药物使用强度,province_year_amplification,Province + year amplification,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.025,0.018,-0.009,0.06,0.0,0.0,4046.0,2237.0,1.0,main,TA（°C）,province_year_amplification,Province + year amplification,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.005,0.022,-0.037,0.051,0.0,0.0,4010.0,2737.0,1.0,main,PM2.5,province_year_amplification,Province + year amplification,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.142,0.05,0.04,0.233,0.001,0.001,2753.0,2412.0,1.0,main,医疗水平,province_year_amplification,Province + year amplification,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
"beta_main[卫生程度
（日污水处理能力）]",0.087,0.051,-0.019,0.184,0.001,0.001,2478.0,2276.0,1.0,main,"卫生程度
（日污水处理能力）",province_year_amplification,Province + year amplification,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.029,0.059,-0.087,0.139,0.001,0.001,2180.0,2312.0,1.0,main,"牲畜饲养
-猪年底头数",province_year_amplification,Province + year amplification,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_main[食品消费量],-0.032,0.024,-0.077,0.018,0.0,0.0,4024.0,2441.0,1.0,main,食品消费量,province_year_amplification,Province + year amplification,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
beta_interaction[R1xday × 抗菌药物使用强度],0.016,0.014,-0.012,0.044,0.0,0.0,4351.0,2295.0,1.0,interaction,R1xday × 抗菌药物使用强度,province_year_amplification,Province + year amplification,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
sigma_residual,0.185,0.008,0.169,0.201,0.0,0.0,3114.0,2069.0,1.0,global,,province_year_amplification,Province + year amplification,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
sigma_province,0.459,0.066,0.344,0.594,0.002,0.001,1108.0,1497.0,1.0,global,,province_year_amplification,Province + year amplification,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes
