parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,effect_scope,variable,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label
alpha,0.009,0.023,-0.036,0.055,0.0,0.0,3830.0,2390.0,1.0,global,,year_only_additive,Year-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[R1xday],0.136,0.03,0.078,0.197,0.001,0.001,3201.0,2220.0,1.0,main,R1xday,year_only_additive,Year-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[抗菌药物使用强度],0.1,0.028,0.044,0.153,0.0,0.001,3742.0,2306.0,1.0,main,抗菌药物使用强度,year_only_additive,Year-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[TA（°C）],0.11,0.036,0.043,0.18,0.001,0.001,3407.0,2344.0,1.0,main,TA（°C）,year_only_additive,Year-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[PM2.5],0.105,0.032,0.043,0.166,0.001,0.001,3296.0,2481.0,1.0,main,PM2.5,year_only_additive,Year-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[医疗水平],0.269,0.037,0.193,0.339,0.001,0.001,2666.0,2269.0,1.0,main,医疗水平,year_only_additive,Year-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
"beta_main[饮用水
供水综合生产能力(万立方米/日)]",0.084,0.029,0.029,0.142,0.0,0.0,3398.0,2645.0,1.0,main,"饮用水
供水综合生产能力(万立方米/日)",year_only_additive,Year-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
"beta_main[牲畜饲养
-猪年底头数]",0.152,0.028,0.096,0.207,0.001,0.0,2836.0,2452.0,1.0,main,"牲畜饲养
-猪年底头数",year_only_additive,Year-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
beta_main[食品消费量],0.012,0.03,-0.042,0.075,0.001,0.001,2949.0,2058.0,1.0,main,食品消费量,year_only_additive,Year-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
sigma_residual,0.414,0.017,0.382,0.45,0.0,0.0,3465.0,2281.0,1.0,global,,year_only_additive,Year-only additive,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes
