archive_rank,role_id,role_label,selection_rule,reason,model_id,scheme_id,scheme_source,fe_label,variables,performance_rank,performance_score,coef_R1xday,p_R1xday,coef_AMC,p_AMC,coef_TA,p_TA,temperature_proxy,pollution_proxy,r2_model,max_vif_z,other_coefficients_nonnegative,negative_other_predictors,strict_preset_pass,scheme_note
1,main_model,严筛主模型,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛主模型进入后续分析。,SYS_09851 | Province: No / Year: Yes,SYS_09851,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 卫生程度
（日污水处理能力） | 牲畜饲养
-猪年底头数 | 食品消费量",27,0.9995617944598866,0.1285306286023753,0.0344698096446054,0.1057129811562968,0.0193063779592099,0.1044,0.0311,TA（°C）,PM2.5,0.4276299979124666,1.7211445207083764,True,,True,全变量池在科学约束下的系统穷举：保留核心变量，且每个高相关代理家族最多取 1 个。
2,strict_top_02,严筛模型 2,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #2，用于稳健性与异质性比较。,SYS_10001 | Province: No / Year: Yes,SYS_10001,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水
供水综合生产能力(万立方米/日) | 牲畜饲养
-猪年底头数 | 食品消费量",30,0.9995309524351194,0.1352099504705239,0.0316157984616889,0.1057412228683963,0.0184126351563778,0.1038,0.0298,TA（°C）,PM2.5,0.425447482788186,1.7285688726687878,True,,True,全变量池在科学约束下的系统穷举：保留核心变量，且每个高相关代理家族最多取 1 个。
3,strict_top_03,严筛模型 3,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #3，用于稳健性与异质性比较。,SYS_10002 | Province: No / Year: Yes,SYS_10002,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 饮用水
供水综合生产能力(万立方米/日) | 牲畜饲养
-猪年底头数 | 文盲比例",34,0.9994968380956024,0.132563773299573,0.0482524926133764,0.110091588379202,0.0151929888340331,0.1282,0.0069,TA（°C）,PM2.5,0.4230334045458238,1.822409026507411,True,,True,全变量池在科学约束下的系统穷举：保留核心变量，且每个高相关代理家族最多取 1 个。
4,strict_top_04,严筛模型 4,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #4，用于稳健性与异质性比较。,SYS_09941 | Province: No / Year: Yes,SYS_09941,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养
-猪年底头数 | PA（%） | 食品消费量",49,0.9992962275731204,0.143485217770118,0.0486297390672487,0.1222713898553088,0.0074355577127309,0.1157,0.0162,TA（°C）,PM2.5,0.4088373371756515,1.789640299554322,True,,True,全变量池在科学约束下的系统穷举：保留核心变量，且每个高相关代理家族最多取 1 个。
5,strict_top_05,严筛模型 5,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #5，用于稳健性与异质性比较。,SYS_09926 | Province: No / Year: Yes,SYS_09926,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养
-猪年底头数 | 食品消费量",50,0.9992962234990448,0.1435952493025688,0.0274535534649327,0.1222751677920434,0.0074079905584321,0.1156,0.0093,TA（°C）,PM2.5,0.4088370488758063,1.7490463540320311,True,,True,全变量池在科学约束下的系统穷举：保留核心变量，且每个高相关代理家族最多取 1 个。
6,strict_top_06,严筛模型 6,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #6，用于稳健性与异质性比较。,SYS_09927 | Province: No / Year: Yes,SYS_09927,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 城市用水普及率 | 牲畜饲养
-猪年底头数 | 文盲比例",51,0.9992910109673137,0.1432111958897139,0.0403418107859661,0.1245634961317869,0.0070854614913498,0.1409,0.0023,TA（°C）,PM2.5,0.4084681874472157,1.861589862732211,True,,True,全变量池在科学约束下的系统穷举：保留核心变量，且每个高相关代理家族最多取 1 个。
7,strict_top_07,严筛模型 7,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #7，用于稳健性与异质性比较。,SYS_09791 | Province: No / Year: Yes,SYS_09791,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养
-猪年底头数 | PA（%） | 食品消费量",68,0.9992426855541868,0.1469036662003963,0.0446199051976146,0.120697077592715,0.0088289410403672,0.125,0.0198,TA（°C）,PM2.5,0.405048472432325,1.8432958857286188,True,,True,全变量池在科学约束下的系统穷举：保留核心变量，且每个高相关代理家族最多取 1 个。
8,strict_top_08,严筛模型 8,R1xday / AMC / TA 显著 + PM2.5 + 其他系数不为负,作为严筛并列候选 #8，用于稳健性与异质性比较。,SYS_09776 | Province: No / Year: Yes,SYS_09776,systematic,Province: No / Year: Yes,"R1xday | 抗菌药物使用强度 | TA（°C） | PM2.5 | 医疗水平 | 生活垃圾无害化处理率 | 牲畜饲养
-猪年底头数 | 食品消费量",69,0.9992425986785324,0.1474014425536451,0.0241275210618998,0.1207117585081428,0.0088053710271067,0.1246,0.0108,TA（°C）,PM2.5,0.4050423247347506,1.801001555430177,True,,True,全变量池在科学约束下的系统穷举：保留核心变量，且每个高相关代理家族最多取 1 个。
