Predictor,Coefficient,95% CI,p value
省平均气温,0.658,"(-0.3805, 1.6965)",0.2133
省平均降水,0.0147,"(-0.0973, 0.1266)",0.7969
R1xday,-0.0043,"(-0.0463, 0.0376)",0.8389
PM2.5,0.043,"(-0.0186, 0.1046)",0.1703
医疗水平,-0.1853**,"(-0.3003, -0.0703)",0.0017
GDP,-0.258*,"(-0.5152, -0.0007)",0.0494
城市用水普及率,0.0011,"(-0.0507, 0.0529)",0.9666
生活垃圾无害化处理率,-0.0644*,"(-0.1210, -0.0078)",0.0258
抗菌药物使用强度,-0.0176,"(-0.0509, 0.0158)",0.3014
Province,Yes,,
Year,No,,
N (observations),307,,
R-squared (within),0.545,,
