Predictor,Coefficient,95% CI,p value
省平均气温,0.0725,"(-0.1661, 0.3112)",0.5502
省平均降水,-0.1104,"(-0.4027, 0.1819)",0.4578
R1xday,0.1049,"(-0.0412, 0.2511)",0.1588
PM2.5,0.0823,"(-0.0662, 0.2307)",0.2764
医疗水平,0.1789,"(-0.0489, 0.4066)",0.1233
GDP,0.187*,"(0.0258, 0.3481)",0.0231
城市用水普及率,-0.0673,"(-0.2351, 0.1005)",0.4308
生活垃圾无害化处理率,0.0403,"(-0.0240, 0.1046)",0.2184
抗菌药物使用强度,0.1159**,"(0.0324, 0.1993)",0.0067
Province,No,,
Year,Yes,,
N (observations),307,,
R-squared (within),-0.783,,
