source_variable,variable,short_label,group,n,std_beta,ci_low,ci_high,p_value,pearson_r,pearson_p,direction,significant
R1xday,R1xday,R1xday,气候：极端降雨,307,0.1725411684716216,0.10874578343311643,0.23633655351012678,1.9917858817560375e-07,0.29150428720499355,1.9917858817560854e-07,positive,True
抗菌药物使用强度,抗菌药物使用强度,AMC,抗菌药物压力,239,0.22738686603935285,0.15919333809245037,0.29558039398625535,3.181341934024648e-10,0.39246226786073324,3.181341934024567e-10,positive,True
TA（°C）,TA（°C）,TA,气候：温度,307,-0.016191965128313803,-0.0828588497915947,0.05047491953496709,0.6330424110201988,-0.02735594811943996,0.6330424110202004,negative,False
氮氧化物,氮氧化物,NOx,污染环境,307,0.27778656676568675,0.21889557562144124,0.33667755790993226,3.2049492401437947e-18,0.46931393740660954,3.204949240143786e-18,positive,True
医疗水平,医疗水平,Medical,医疗系统/检测代理,307,-0.04233775592764876,-0.10885877148048331,0.024183259625185798,0.2113828072322896,-0.07152865297523549,0.21138280723228975,negative,False
人均日生活用水量(升),人均日生活用水量(升),Water use,供水与生活条件,307,-0.05213799204486437,-0.11857059654090987,0.014294612451181132,0.12353862620322711,-0.08808592373615193,0.12353862620322692,negative,False
"牲畜饲养
-猪年底头数",牲畜饲养 - 猪年底头数,Pigs,畜牧暴露,307,0.13351131560256682,0.0685382346421459,0.19848439656298775,6.674726303773899e-05,0.22556425943602162,6.674726303774015e-05,positive,True
文盲比例,文盲比例,Illiteracy,社会经济结构,307,-0.09760304177782173,-0.1633819150802145,-0.03182416847542896,0.0037636459903954717,-0.16489806678898583,0.0037636459903954275,negative,True
