role_id,role_label,model_id,scheme_id,fe_label,scenario_id,scenario_label,province_n,year_n,outcome_actual_mean,actual_pred_mean,counterfactual_pred_mean,actual_minus_counterfactual_mean,relative_change_pct_mean
main_model,主模型,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877325e-05,-0.020156406753101,0.0200630536705133,8.938838035692228
strict_top_03,严筛模型 3,SYS_10002 | Province: No / Year: Yes,SYS_10002,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.3353082587737e-05,-0.126798588198797,0.1267052351162093,41.67486444438892
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773466e-05,-0.1350088332732301,0.1349154801906424,53.90213772587568
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,Province: No / Year: Yes,r1xday_plus_temperature_to_baseline,R1xday + 温度变量共同恢复基准,31,10,-9.335308258774442e-05,-9.335308258773466e-05,-0.1348546866001421,0.1347613335175543,53.9273970413168
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.335308258773466e-05,-0.0205127300715519,0.0204193769889642,10.153226328728271
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773466e-05,-0.1144353096111778,0.1143419565285901,41.48387272271394
strict_top_05,严筛模型 5,SYS_09926 | Province: No / Year: Yes,SYS_09926,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877314e-05,-0.1347848726175244,0.1346915195349367,53.88586916512519
strict_top_05,严筛模型 5,SYS_09926 | Province: No / Year: Yes,SYS_09926,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.33530825877314e-05,-0.0205283886555977,0.02043503557301,10.114428679143892
strict_top_05,严筛模型 5,SYS_09926 | Province: No / Year: Yes,SYS_09926,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877314e-05,-0.1143498370445144,0.1142564839619266,41.48329791821845
strict_top_06,严筛模型 6,SYS_09927 | Province: No / Year: Yes,SYS_09927,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877305e-05,-0.1597475900543674,0.1596542369717797,57.89601981240301
strict_top_06,严筛模型 6,SYS_09927 | Province: No / Year: Yes,SYS_09927,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.33530825877305e-05,-0.0204737340260627,0.020380380943475,4.565475433522791
strict_top_06,严筛模型 6,SYS_09927 | Province: No / Year: Yes,SYS_09927,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877305e-05,-0.1393672091108924,0.1392738560283047,47.41393763827036
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773358e-05,-0.1453104697631934,0.1452171166806056,58.9006660738885
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,Province: No / Year: Yes,r1xday_plus_temperature_to_baseline,R1xday + 温度变量共同恢复基准,31,10,-9.335308258774442e-05,-9.335308258773358e-05,-0.1445979595604836,0.1445046064778959,58.86953529506073
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.335308258773358e-05,-0.0209992093639834,0.0209058562813957,7.993454736935501
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773358e-05,-0.1236921032790879,0.1235987501965002,43.468732500116346
strict_top_08,严筛模型 8,SYS_09776 | Province: No / Year: Yes,SYS_09776,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877325e-05,-0.1442904189781503,0.1441970658955626,58.73338350107454
strict_top_08,严筛模型 8,SYS_09776 | Province: No / Year: Yes,SYS_09776,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.33530825877325e-05,-0.0210700479017167,0.020976694819129,8.028069993749805
strict_top_08,严筛模型 8,SYS_09776 | Province: No / Year: Yes,SYS_09776,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877325e-05,-0.1233137241590212,0.1232203710764335,43.44107654464886
