Province,scenario,statistic,overlap_n,rx1day_history_mean,rx1day_external_mean,additive_bias
上海,ssp119,median,9,96.20411082111112,58.559999999999995,37.64411082111111
上海,ssp119,p10,9,96.20411082111112,39.37,56.83411082111112
上海,ssp119,p90,9,96.20411082111112,85.00666666666666,11.197444154444446
上海,ssp126,median,9,96.20411082111112,58.02777777777778,38.17633304333334
上海,ssp126,p10,9,96.20411082111112,41.12444444444444,55.079666376666665
上海,ssp126,p90,9,96.20411082111112,84.98777777777778,11.216333043333332
上海,ssp245,median,9,96.20411082111112,59.239999999999995,36.96411082111111
上海,ssp245,p10,9,96.20411082111112,40.35333333333333,55.850777487777776
上海,ssp245,p90,9,96.20411082111112,85.64333333333333,10.56077748777778
上海,ssp370,median,9,96.20411082111112,58.47222222222222,37.731888598888894
上海,ssp370,p10,9,96.20411082111112,37.59222222222222,58.611888598888896
上海,ssp370,p90,9,96.20411082111112,86.59222222222223,9.61188859888889
上海,ssp585,median,9,96.20411082111112,60.37111111111111,35.832999709999996
上海,ssp585,p10,9,96.20411082111112,38.888888888888886,57.31522193222223
上海,ssp585,p90,9,96.20411082111112,87.11555555555555,9.08855526555556
云南,ssp119,median,9,26.327923396666666,37.79666666666667,-11.468743270000003
云南,ssp119,p10,9,26.327923396666666,27.19666666666667,-0.8687432700000011
云南,ssp119,p90,9,26.327923396666666,53.65555555555555,-27.32763215888889
云南,ssp126,median,9,26.327923396666666,37.85666666666667,-11.528743270000001
云南,ssp126,p10,9,26.327923396666666,27.516666666666666,-1.1887432700000007
云南,ssp126,p90,9,26.327923396666666,53.48888888888889,-27.16096549222222
云南,ssp245,median,9,26.327923396666666,37.69111111111111,-11.363187714444445
云南,ssp245,p10,9,26.327923396666666,27.775555555555556,-1.4476321588888896
云南,ssp245,p90,9,26.327923396666666,52.61666666666667,-26.28874327
云南,ssp370,median,9,26.327923396666666,37.59888888888889,-11.270965492222224
云南,ssp370,p10,9,26.327923396666666,26.374444444444446,-0.04652104777777824
云南,ssp370,p90,9,26.327923396666666,55.37888888888889,-29.050965492222222
云南,ssp585,median,9,26.327923396666666,38.81666666666667,-12.48874327
云南,ssp585,p10,9,26.327923396666666,27.59888888888889,-1.2709654922222233
云南,ssp585,p90,9,26.327923396666666,54.50888888888889,-28.180965492222224
