Province,scenario,statistic,overlap_n,history_value_mean,external_value_mean,additive_bias
上海,ssp119,median,9,17.073618477777778,17.378888888888888,-0.3052704111111113
上海,ssp119,p10,9,17.073618477777778,16.59222222222222,0.48139625555555593
上海,ssp119,p90,9,17.073618477777778,18.15888888888889,-1.0852704111111109
上海,ssp126,median,9,17.073618477777778,17.456666666666667,-0.38304818888888864
上海,ssp126,p10,9,17.073618477777778,16.624444444444446,0.44917403333333383
上海,ssp126,p90,9,17.073618477777778,18.258888888888887,-1.1852704111111103
上海,ssp245,median,9,17.073618477777778,17.406666666666666,-0.3330481888888887
上海,ssp245,p10,9,17.073618477777778,16.66111111111111,0.41250736666666654
上海,ssp245,p90,9,17.073618477777778,18.20888888888889,-1.1352704111111107
上海,ssp370,median,9,17.073618477777778,17.28222222222222,-0.20860374444444454
上海,ssp370,p10,9,17.073618477777778,16.471111111111114,0.602507366666667
上海,ssp370,p90,9,17.073618477777778,18.141111111111112,-1.067492633333333
上海,ssp585,median,9,17.073618477777778,17.49888888888889,-0.42527041111111075
上海,ssp585,p10,9,17.073618477777778,16.634444444444444,0.43917403333333344
上海,ssp585,p90,9,17.073618477777778,18.25,-1.176381522222222
云南,ssp119,median,9,16.008992524444444,16.504444444444445,-0.49545191999999955
云南,ssp119,p10,9,16.008992524444444,15.88888888888889,0.12010363555555593
云南,ssp119,p90,9,16.008992524444444,17.11111111111111,-1.1021185866666667
云南,ssp126,median,9,16.008992524444444,16.549999999999997,-0.5410074755555547
云南,ssp126,p10,9,16.008992524444444,15.917777777777777,0.09121474666666746
云南,ssp126,p90,9,16.008992524444444,17.185555555555553,-1.1765630311111106
云南,ssp245,median,9,16.008992524444444,16.53222222222222,-0.5232296977777777
云南,ssp245,p10,9,16.008992524444444,15.93222222222222,0.07677030222222253
云南,ssp245,p90,9,16.008992524444444,17.13,-1.121007475555555
云南,ssp370,median,9,16.008992524444444,16.468888888888888,-0.45989636444444393
云南,ssp370,p10,9,16.008992524444444,15.763333333333334,0.24565919111111137
云南,ssp370,p90,9,16.008992524444444,17.11888888888889,-1.1098963644444437
云南,ssp585,median,9,16.008992524444444,16.56222222222222,-0.5532296977777769
云南,ssp585,p10,9,16.008992524444444,15.96888888888889,0.04010363555555566
云南,ssp585,p90,9,16.008992524444444,17.162222222222223,-1.1532296977777774
内蒙古,ssp119,median,9,4.8196276246666665,5.4188888888888895,-0.5992612642222225
内蒙古,ssp119,p10,9,4.8196276246666665,4.3133333333333335,0.5062942913333334
内蒙古,ssp119,p90,9,4.8196276246666665,6.346666666666668,-1.5270390420000004
内蒙古,ssp126,median,9,4.8196276246666665,5.455555555555556,-0.635927930888889
内蒙古,ssp126,p10,9,4.8196276246666665,4.383333333333334,0.43629429133333303
内蒙古,ssp126,p90,9,4.8196276246666665,6.397777777777778,-1.5781501531111115
内蒙古,ssp245,median,9,4.8196276246666665,5.435555555555556,-0.6159279308888892
内蒙古,ssp245,p10,9,4.8196276246666665,4.424444444444444,0.3951831802222221
内蒙古,ssp245,p90,9,4.8196276246666665,6.347777777777778,-1.5281501531111112
内蒙古,ssp370,median,9,4.8196276246666665,5.321111111111112,-0.5014834864444446
内蒙古,ssp370,p10,9,4.8196276246666665,4.144444444444444,0.6751831802222221
内蒙古,ssp370,p90,9,4.8196276246666665,6.348888888888889,-1.5292612642222225
内蒙古,ssp585,median,9,4.8196276246666665,5.615555555555556,-0.7959279308888891
内蒙古,ssp585,p10,9,4.8196276246666665,4.326666666666666,0.4929609579999998
内蒙古,ssp585,p90,9,4.8196276246666665,6.528888888888889,-1.7092612642222225
北京,ssp119,median,9,11.771439182222222,11.458888888888888,0.31255029333333323
北京,ssp119,p10,9,11.771439182222222,10.486666666666666,1.2847725155555554
北京,ssp119,p90,9,11.771439182222222,12.293333333333333,-0.5218941511111114
北京,ssp126,median,9,11.771439182222222,11.575555555555557,0.19588362666666626
北京,ssp126,p10,9,11.771439182222222,10.536666666666667,1.2347725155555551
北京,ssp126,p90,9,11.771439182222222,12.344444444444443,-0.5730052622222223
北京,ssp245,median,9,11.771439182222222,11.47888888888889,0.29255029333333304
北京,ssp245,p10,9,11.771439182222222,10.58,1.191439182222222
北京,ssp245,p90,9,11.771439182222222,12.37,-0.5985608177777783
北京,ssp370,median,9,11.771439182222222,11.317777777777778,0.4536614044444441
北京,ssp370,p10,9,11.771439182222222,10.276666666666666,1.4947725155555556
北京,ssp370,p90,9,11.771439182222222,12.262222222222222,-0.49078303999999995
北京,ssp585,median,9,11.771439182222222,11.628888888888888,0.14255029333333327
北京,ssp585,p10,9,11.771439182222222,10.60888888888889,1.162550293333333
北京,ssp585,p90,9,11.771439182222222,12.425555555555555,-0.6541163733333337
吉林,ssp119,median,9,5.586556548222223,6.055555555555555,-0.4689990073333332
吉林,ssp119,p10,9,5.586556548222223,4.902222222222222,0.6843343260000001
吉林,ssp119,p90,9,5.586556548222223,7.011111111111111,-1.4245545628888887
吉林,ssp126,median,9,5.586556548222223,6.087777777777777,-0.5012212295555555
吉林,ssp126,p10,9,5.586556548222223,5.0088888888888885,0.5776676593333333
吉林,ssp126,p90,9,5.586556548222223,7.081111111111111,-1.494554562888889
吉林,ssp245,median,9,5.586556548222223,6.07,-0.48344345177777764
吉林,ssp245,p10,9,5.586556548222223,5.014444444444444,0.5721121037777781
吉林,ssp245,p90,9,5.586556548222223,6.941111111111111,-1.3545545628888886
吉林,ssp370,median,9,5.586556548222223,5.928888888888888,-0.3423323406666667
吉林,ssp370,p10,9,5.586556548222223,4.695555555555555,0.8910009926666669
吉林,ssp370,p90,9,5.586556548222223,7.028888888888889,-1.4423323406666666
吉林,ssp585,median,9,5.586556548222223,6.306666666666667,-0.7201101184444443
吉林,ssp585,p10,9,5.586556548222223,4.917777777777777,0.6687787704444446
吉林,ssp585,p90,9,5.586556548222223,7.236666666666666,-1.6501101184444442
四川,ssp119,median,9,8.144641843999999,8.083333333333334,0.06130851066666665
四川,ssp119,p10,9,8.144641843999999,7.344444444444444,0.8001973995555555
四川,ssp119,p90,9,8.144641843999999,8.83,-0.6853581559999998
四川,ssp126,median,9,8.144641843999999,8.117777777777778,0.026864066222222052
四川,ssp126,p10,9,8.144641843999999,7.435555555555556,0.7090862884444443
四川,ssp126,p90,9,8.144641843999999,8.947777777777778,-0.8031359337777778
四川,ssp245,median,9,8.144641843999999,8.105555555555556,0.03908628844444431
四川,ssp245,p10,9,8.144641843999999,7.40888888888889,0.7357529551111109
四川,ssp245,p90,9,8.144641843999999,8.795555555555556,-0.6509137115555557
四川,ssp370,median,9,8.144641843999999,8.023333333333333,0.12130851066666636
四川,ssp370,p10,9,8.144641843999999,7.176666666666667,0.9679751773333334
四川,ssp370,p90,9,8.144641843999999,8.837777777777777,-0.6931359337777778
四川,ssp585,median,9,8.144641843999999,8.217777777777776,-0.07313593377777779
四川,ssp585,p10,9,8.144641843999999,7.417777777777778,0.7268640662222222
四川,ssp585,p90,9,8.144641843999999,8.95,-0.8053581560000002
天津,ssp119,median,9,13.451171618888887,13.731111111111112,-0.2799394922222225
天津,ssp119,p10,9,13.451171618888887,12.785555555555556,0.6656160633333328
天津,ssp119,p90,9,13.451171618888887,14.591111111111111,-1.1399394922222226
天津,ssp126,median,9,13.451171618888887,13.863333333333335,-0.41216171444444505
天津,ssp126,p10,9,13.451171618888887,12.916666666666666,0.5345049522222219
天津,ssp126,p90,9,13.451171618888887,14.626666666666665,-1.1754950477777777
天津,ssp245,median,9,13.451171618888887,13.735555555555557,-0.28438393666666706
天津,ssp245,p10,9,13.451171618888887,12.895555555555555,0.5556160633333328
天津,ssp245,p90,9,13.451171618888887,14.732222222222223,-1.2810506033333335
天津,ssp370,median,9,13.451171618888887,13.55888888888889,-0.1077172700000002
天津,ssp370,p10,9,13.451171618888887,12.446666666666667,1.0045049522222216
天津,ssp370,p90,9,13.451171618888887,14.516666666666667,-1.0654950477777783
天津,ssp585,median,9,13.451171618888887,13.931111111111111,-0.4799394922222222
天津,ssp585,p10,9,13.451171618888887,12.95111111111111,0.5000605077777777
天津,ssp585,p90,9,13.451171618888887,14.746666666666666,-1.295495047777778
宁夏,ssp119,median,9,8.97000590688889,9.536666666666667,-0.5666607597777777
宁夏,ssp119,p10,9,8.97000590688889,8.694444444444445,0.2755614624444445
宁夏,ssp119,p90,9,8.97000590688889,10.276666666666666,-1.3066607597777775
宁夏,ssp126,median,9,8.97000590688889,9.592222222222222,-0.6222163153333331
宁夏,ssp126,p10,9,8.97000590688889,8.734444444444444,0.23556146244444479
宁夏,ssp126,p90,9,8.97000590688889,10.337777777777779,-1.3677718708888886
宁夏,ssp245,median,9,8.97000590688889,9.573333333333332,-0.6033274264444444
宁夏,ssp245,p10,9,8.97000590688889,8.74,0.23000590688888897
宁夏,ssp245,p90,9,8.97000590688889,10.343333333333334,-1.3733274264444444
宁夏,ssp370,median,9,8.97000590688889,9.446666666666665,-0.47666075977777744
宁夏,ssp370,p10,9,8.97000590688889,8.571111111111112,0.398894795777778
宁夏,ssp370,p90,9,8.97000590688889,10.207777777777778,-1.2377718708888885
宁夏,ssp585,median,9,8.97000590688889,9.687777777777777,-0.7177718708888885
宁夏,ssp585,p10,9,8.97000590688889,8.770000000000001,0.2000059068888892
宁夏,ssp585,p90,9,8.97000590688889,10.428888888888888,-1.4588829819999996
安徽,ssp119,median,9,16.727921915555555,16.675555555555558,0.05236635999999982
安徽,ssp119,p10,9,16.727921915555555,15.864444444444445,0.8634774711111112
