Province,Year,scenario,statistic,rx1day,additive_bias,overlap_n,rx1day_aligned
重庆,2045,ssp119,median,47.05,-0.7279127533333336,9,46.32208724666666
重庆,2046,ssp119,median,47.4,-0.7279127533333336,9,46.67208724666666
重庆,2047,ssp119,median,48.22,-0.7279127533333336,9,47.492087246666664
重庆,2048,ssp119,median,47.01,-0.7279127533333336,9,46.28208724666666
重庆,2049,ssp119,median,47.52,-0.7279127533333336,9,46.79208724666667
重庆,2050,ssp119,median,47.51,-0.7279127533333336,9,46.78208724666666
福建,2024,ssp119,median,65.09,-9.75170038666667,9,55.338299613333334
福建,2025,ssp119,median,66.86,-9.75170038666667,9,57.10829961333333
福建,2026,ssp119,median,64.95,-9.75170038666667,9,55.19829961333333
福建,2027,ssp119,median,65.48,-9.75170038666667,9,55.728299613333334
福建,2028,ssp119,median,65.49,-9.75170038666667,9,55.738299613333325
福建,2029,ssp119,median,66.4,-9.75170038666667,9,56.648299613333336
福建,2030,ssp119,median,66.97,-9.75170038666667,9,57.21829961333333
福建,2031,ssp119,median,65.56,-9.75170038666667,9,55.80829961333333
福建,2032,ssp119,median,63.39,-9.75170038666667,9,53.63829961333333
福建,2033,ssp119,median,67.04,-9.75170038666667,9,57.288299613333336
福建,2034,ssp119,median,64.41,-9.75170038666667,9,54.65829961333333
福建,2035,ssp119,median,65.68,-9.75170038666667,9,55.92829961333334
福建,2036,ssp119,median,65.84,-9.75170038666667,9,56.088299613333334
福建,2037,ssp119,median,64.9,-9.75170038666667,9,55.148299613333336
福建,2038,ssp119,median,66.35,-9.75170038666667,9,56.598299613333324
福建,2039,ssp119,median,64.71,-9.75170038666667,9,54.958299613333324
福建,2040,ssp119,median,65.53,-9.75170038666667,9,55.77829961333333
福建,2041,ssp119,median,65.34,-9.75170038666667,9,55.588299613333334
福建,2042,ssp119,median,66.03,-9.75170038666667,9,56.27829961333333
福建,2043,ssp119,median,65.85,-9.75170038666667,9,56.098299613333324
福建,2044,ssp119,median,65.94,-9.75170038666667,9,56.18829961333333
福建,2045,ssp119,median,65.28,-9.75170038666667,9,55.52829961333333
福建,2046,ssp119,median,65.19,-9.75170038666667,9,55.43829961333333
福建,2047,ssp119,median,64.82,-9.75170038666667,9,55.06829961333332
福建,2048,ssp119,median,64.1,-9.75170038666667,9,54.348299613333324
