Province,region,region_en,region_order,ssp119,ssp585,scenario_gap,scenario_gap_abs,scenario_midpoint
宁夏,西北,Northwest China,7,-0.2277195214850145,1.1729471451816516,1.400666666666666,1.400666666666666,0.4726138118483185
上海,华东,East China,3,-0.3327846965487164,1.0442153034512824,1.376999999999999,1.376999999999999,0.355715303451283
黑龙江,东北,Northeast China,2,0.0155523559367369,1.3305523559367365,1.3149999999999995,1.3149999999999995,0.6730523559367367
浙江,华东,East China,3,-0.1126547298693274,1.1846786034640069,1.2973333333333343,1.2973333333333343,0.5360119367973397
甘肃,西北,Northwest China,7,-0.3968466255462843,0.8858200411203818,1.2826666666666662,1.2826666666666662,0.24448670778704876
山西,华北,North China,1,-0.6642385180515931,0.5910948152817397,1.2553333333333327,1.2553333333333327,-0.03657185138492669
新疆,西北,Northwest China,7,-1.6623847897507469,-0.4267181230840808,1.235666666666666,1.235666666666666,-1.0445514564174139
青海,西北,Northwest China,7,0.9474629870749413,2.179796320408274,1.232333333333333,1.232333333333333,1.5636296537416077
西藏,西南,Southwest China,6,0.8821564732759808,2.114156473275981,1.2320000000000002,1.2320000000000002,1.498156473275981
吉林,东北,Northeast China,2,-0.7373814116037152,0.4819519217296188,1.219333333333334,1.219333333333334,-0.12771474493704818
内蒙古,华北,North China,1,0.0833393032254372,1.2993393032254386,1.2160000000000013,1.2160000000000013,0.6913393032254379
陕西,西北,Northwest China,7,-0.6852990631486491,0.5243676035180158,1.209666666666665,1.209666666666665,-0.08046572981531663
安徽,华东,East China,3,-0.4222747000290041,0.780058633304328,1.2023333333333321,1.2023333333333321,0.17889196663766196
江苏,华东,East China,3,-0.530223384518469,0.6667766154815338,1.1970000000000027,1.1970000000000027,0.06827661548153241
四川,西南,Southwest China,6,-0.5380617636199607,0.6442715697133743,1.182333333333335,1.182333333333335,0.053104903046706786
重庆,西南,Southwest China,6,-1.3764890098262588,-0.2801556764929249,1.0963333333333338,1.0963333333333338,-0.8283223431595919
江西,华东,East China,3,-0.5663028563862007,0.5276971436137967,1.0939999999999974,1.0939999999999974,-0.019302856386201994
山东,华东,East China,3,-0.746396997449166,0.3382696692175011,1.0846666666666671,1.0846666666666671,-0.20406366411583243
河北,华北,North China,1,-0.4865051933701629,0.5761614732965061,1.062666666666669,1.062666666666669,0.044828139963171615
福建,华东,East China,3,-0.0232096260174109,1.02679037398259,1.050000000000001,1.050000000000001,0.5017903739825896
贵州,西南,Southwest China,6,-1.26728461217186,-0.2176179455051947,1.0496666666666652,1.0496666666666652,-0.7424512788385274
湖南,华中,Central China,4,-1.5384854845207387,-0.499818817854071,1.0386666666666677,1.0386666666666677,-1.0191521511874049
辽宁,东北,Northeast China,2,-0.2544075205643015,0.7829258127690331,1.0373333333333346,1.0373333333333346,0.2642591461023658
河南,华中,Central China,4,-1.4464696915011677,-0.4211363581678355,1.025333333333332,1.025333333333332,-0.9338030248345016
湖北,华中,Central China,4,-1.7100379299529234,-0.7047045966195888,1.0053333333333345,1.0053333333333345,-1.207371263286256
广东,华南,South China,5,-0.0092223183285331,0.979444348338134,0.9886666666666671,0.9886666666666671,0.4851110150048004
云南,西南,Southwest China,6,-0.716064526328817,0.2682688070045183,0.9843333333333353,0.9843333333333353,-0.22389785966214937
北京,华北,North China,1,-0.2141194622148732,0.7668805377851284,0.9810000000000016,0.9810000000000016,0.2763805377851276
广西,华南,South China,5,-1.252947679507728,-0.2719476795077302,0.9809999999999977,0.9809999999999977,-0.7624476795077291
天津,华北,North China,1,-0.3724219988028223,0.5262446678638448,0.8986666666666672,0.8986666666666672,0.07691133453051127
海南,华南,South China,5,0.074059659665493,0.9477263263321578,0.8736666666666648,0.8736666666666648,0.5108929929988254
