Predictor,Coefficient,95% CI,p-value
GDP,1.4063,0.172–2.6406,0.0264
PM2.5,-0.2108,-0.7494–0.3277,0.4436
R1xday,-0.2407,-0.6435–0.1621,0.2426
医疗水平,1.4371,-0.1895–3.0636,0.0846
城市用水普及率,0.1427,-0.6011–0.8866,0.7071
抗菌药物使用强度,0.1321,-0.1798–0.4439,0.4074
生活垃圾无害化处理率,0.5161,0.0044–1.0279,0.0491
省平均气温,3.4137,-9.1468–15.9741,0.5947
省平均降水,-0.8068,-1.8497–0.2361,0.1307
Province FE,Yes,,
Year FE,Yes,,
N,299,,
R² (within),-1.4472,,
