Predictor,Coefficient,95% CI,p-value
GDP,1.4456,-1.4856–4.3769,0.3347
PM2.5,-0.1065,-0.3392–0.1263,0.3707
R1xday,-0.069,-0.2708–0.1328,0.5032
医疗水平,0.1407,-0.8639–1.1453,0.7839
城市用水普及率,-0.1304,-0.8804–0.6196,0.7335
抗菌药物使用强度,0.188,-0.0163–0.3924,0.0725
生活垃圾无害化处理率,0.1219,-0.1577–0.4015,0.3936
省平均气温,-5.7248,-13.6249–2.1754,0.1568
省平均降水,-0.2324,-0.8493–0.3845,0.4609
Province FE,Yes,,
Year FE,Yes,,
N,300,,
R² (within),-0.1709,,
