Predictor,Coefficient,95% CI,p-value
GDP,-1.3551,-3.9463–1.236,0.3063
PM2.5,-0.3437,-1.7148–1.0274,0.6236
R1xday,-0.2282,-0.7231–0.2668,0.3672
医疗水平,2.1442,-2.2237–6.5121,0.3369
城市用水普及率,0.8887,-0.5537–2.3312,0.2283
抗菌药物使用强度,-0.0558,-0.703–0.5914,0.866
生活垃圾无害化处理率,-0.1935,-1.114–0.7269,0.6806
省平均气温,-2.9414,-16.5429–10.6601,0.672
省平均降水,-0.8039,-2.5746–0.9667,0.3744
Province FE,Yes,,
Year FE,Yes,,
N,300,,
R² (within),-0.5732,,
