Predictor,Coefficient,95% CI,p-value
GDP,-1.6672,-3.8381–0.5036,0.1335
PM2.5,0.0678,-0.7101–0.8456,0.8646
R1xday,-0.1009,-0.6102–0.4084,0.6981
医疗水平,0.7989,-2.1477–3.7454,0.5956
城市用水普及率,0.6667,-0.5639–1.8973,0.2893
抗菌药物使用强度,-0.0975,-0.4882–0.2932,0.6252
生活垃圾无害化处理率,0.2621,-0.4881–1.0122,0.4941
省平均气温,5.5027,-17.9435–28.949,0.6459
省平均降水,-0.8861,-3.2488–1.4766,0.463
Province FE,Yes,,
Year FE,Yes,,
N,300,,
R² (within),0.1537,,
