Predictor,Coefficient,95% CI,p-value
GDP,-1.3448,-2.974–0.2843,0.1069
PM2.5,-0.2398,-0.6759–0.1964,0.2823
R1xday,0.0275,-0.249–0.304,0.8458
医疗水平,-0.3355,-1.4692–0.7983,0.5625
城市用水普及率,-0.4547,-1.4171–0.5078,0.3554
抗菌药物使用强度,-0.0632,-0.3517–0.2252,0.6677
生活垃圾无害化处理率,0.2237,-0.1971–0.6444,0.2984
省平均气温,-0.4486,-11.2324–10.3352,0.9351
省平均降水,0.5697,-0.5123–1.6518,0.3031
Province FE,Yes,,
Year FE,Yes,,
N,300,,
R² (within),0.242,,
