Predictor,Coefficient,95% CI,p-value
GDP,-5.3201,-10.0704–-0.5697,0.0291
PM2.5,0.2299,-1.7794–2.2393,0.8227
R1xday,-0.4705,-1.1308–0.1898,0.1637
医疗水平,0.4185,-3.5111–4.3481,0.8348
城市用水普及率,-2.3238,-5.2259–0.5784,0.1178
抗菌药物使用强度,0.4055,-0.4953–1.3064,0.3785
生活垃圾无害化处理率,-1.8522,-2.8248–-0.8796,0.0002
省平均气温,17.5658,0.6475–34.4841,0.0429
省平均降水,0.7147,-2.2778–3.7073,0.6401
Province FE,Yes,,
Year FE,Yes,,
N,300,,
R² (within),0.2609,,
