Predictor,Coefficient,95% CI,p-value
GDP,-0.3591,-2.1638–1.4456,0.6969
PM2.5,0.4212,-0.4983–1.3407,0.3701
R1xday,0.1275,-0.1716–0.4266,0.4043
医疗水平,-0.1484,-2.542–2.2452,0.9034
城市用水普及率,-0.0223,-1.3846–1.34,0.9744
抗菌药物使用强度,-0.1353,-0.6078–0.3371,0.575
生活垃圾无害化处理率,0.1323,-0.3846–0.6493,0.6163
省平均气温,2.6734,-5.0114–10.3582,0.496
省平均降水,-1.6872,-3.3649–-0.0095,0.0498
Province FE,Yes,,
Year FE,Yes,,
N,300,,
R² (within),0.1117,,
