Predictor,Coefficient,95% CI,p-value
GDP,-1.093,-3.4297–1.2437,0.3601
PM2.5,0.2379,-0.511–0.9868,0.5341
R1xday,0.057,-0.3561–0.4702,0.7869
医疗水平,1.2124,-1.5924–4.0173,0.3977
城市用水普及率,-0.4824,-2.2576–1.2929,0.5948
抗菌药物使用强度,0.0432,-0.4688–0.5552,0.8687
生活垃圾无害化处理率,0.5515,-0.176–1.2791,0.1386
省平均气温,2.7382,-8.7848–14.2612,0.6418
省平均降水,0.8116,-1.014–2.6371,0.3844
Province FE,Yes,,
Year FE,Yes,,
N,300,,
R² (within),-0.2486,,
