Predictor,Coefficient,95% CI,p-value
GDP,1.0687,-0.653–2.7904,0.2249
PM2.5,-0.0696,-1.1129–0.9738,0.8961
R1xday,0.4405,-0.0758–0.9567,0.0957
医疗水平,0.2591,-1.7483–2.2665,0.8005
城市用水普及率,0.9879,-0.2576–2.2334,0.1213
抗菌药物使用强度,0.0718,-0.4061–0.5497,0.7686
生活垃圾无害化处理率,-0.2775,-0.6051–0.0502,0.0982
省平均气温,-1.7839,-11.229–7.6611,0.7115
省平均降水,-0.1944,-1.2404–0.8517,0.716
Province FE,Yes,,
Year FE,Yes,,
N,300,,
R² (within),0.206,,
