Predictor,Coefficient,95% CI,p-value
GDP,-0.0644,-0.3752–0.2464,0.6851
PM2.5,-0.0936,-0.1601–-0.0271,0.0062
R1xday,0.0184,-0.0332–0.0699,0.4854
医疗水平,-0.1231,-0.3319–0.0857,0.2489
城市用水普及率,-0.0564,-0.1442–0.0314,0.2094
抗菌药物使用强度,-0.0153,-0.0587–0.028,0.4888
生活垃圾无害化处理率,-0.075,-0.1766–0.0266,0.149
省平均气温,1.1248,-0.1406–2.3903,0.0827
省平均降水,0.128,-0.0448–0.3008,0.1478
Province FE,Yes,,
Year FE,Yes,,
N,300,,
R² (within),0.2786,,
