Predictor,Coefficient,95% CI,p-value
GDP,1.7693,-0.789–4.3276,0.1765
PM2.5,1.126,-0.0211–2.2732,0.0555
R1xday,0.0584,-0.3344–0.4512,0.771
医疗水平,1.5928,-2.3628–5.5483,0.4307
城市用水普及率,1.0943,-0.9284–3.117,0.29
抗菌药物使用强度,-0.1213,-0.7434–0.5008,0.7026
生活垃圾无害化处理率,-0.3371,-1.3531–0.6788,0.516
省平均气温,6.6683,-4.6949–18.0316,0.2512
省平均降水,0.1085,-1.593–1.81,0.9006
Province FE,Yes,,
Year FE,Yes,,
N,300,,
R² (within),-0.5197,,
