Year,province_n,outcome_actual_mean
2014,31,35.00384615384615
2015,31,34.51358974358974
2016,31,33.82769230769231
2017,31,33.04197684036394
2018,31,32.26681141439206
2019,31,32.038213399503725
2020,31,31.77741935483871
2021,31,31.5985111662531
2022,31,30.98138957816377
2023,31,31.45732009925558
