province,scenario,percentile,period,rx1day,source_file
Hebei Sheng,ssp119,p10,2080-2099,24.99,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Heilongjiang Sheng,ssp119,p10,2080-2099,20.54,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Henan Sheng,ssp119,p10,2080-2099,32.99,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
"Hong Kong, SAR",ssp119,p10,2080-2099,46.34,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Hubei Sheng,ssp119,p10,2080-2099,37.89,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Hunan Sheng,ssp119,p10,2080-2099,40.01,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Jiangsu Sheng,ssp119,p10,2080-2099,38.76,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Jiangxi Sheng,ssp119,p10,2080-2099,43.84,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Jilin Sheng,ssp119,p10,2080-2099,24.92,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Liaoning Sheng,ssp119,p10,2080-2099,30.36,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
"Macau, SAR",ssp119,p10,2080-2099,46.33,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Nei Mongol Zizhiqu,ssp119,p10,2080-2099,14.58,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Ningxia Huizu Zizhiqu,ssp119,p10,2080-2099,16.6,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Qinghai Sheng,ssp119,p10,2080-2099,7.77,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Shaanxi Sheng,ssp119,p10,2080-2099,26.65,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Shandong Sheng,ssp119,p10,2080-2099,32.17,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Shanghai Shi,ssp119,p10,2080-2099,39.86,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Shanxi Sheng,ssp119,p10,2080-2099,24.31,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Sichuan Sheng,ssp119,p10,2080-2099,20.31,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Tianjin Shi,ssp119,p10,2080-2099,27.87,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Xinjiang Uygur Zizhiqu,ssp119,p10,2080-2099,6.41,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Xizang Zizhiqu,ssp119,p10,2080-2099,8.86,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Yunnan Sheng,ssp119,p10,2080-2099,26.29,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Zhejiang Sheng,ssp119,p10,2080-2099,45.38,rx1day_CHNprov_ssp119_p10_2080-2099.xlsx
Anhui Sheng,ssp119,p90,2020-2039,71.29,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Beijing Shi,ssp119,p90,2020-2039,54.37,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Chongqing Shi,ssp119,p90,2020-2039,59.45,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Fujian Sheng,ssp119,p90,2020-2039,84.3,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Gansu Sheng,ssp119,p90,2020-2039,22.86,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Guangdong Sheng,ssp119,p90,2020-2039,91.61,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Guangxi Zhuangzu Zizhiqu,ssp119,p90,2020-2039,81.05,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Guizhou Sheng,ssp119,p90,2020-2039,54.35,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Hainan Sheng,ssp119,p90,2020-2039,103.91,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Hebei Sheng,ssp119,p90,2020-2039,48.55,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Heilongjiang Sheng,ssp119,p90,2020-2039,37.28,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Henan Sheng,ssp119,p90,2020-2039,61.73,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
"Hong Kong, SAR",ssp119,p90,2020-2039,90.9,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Hubei Sheng,ssp119,p90,2020-2039,68.43,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Hunan Sheng,ssp119,p90,2020-2039,72.54,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Jiangsu Sheng,ssp119,p90,2020-2039,69.16,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Jiangxi Sheng,ssp119,p90,2020-2039,79.59,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Jilin Sheng,ssp119,p90,2020-2039,45.42,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Liaoning Sheng,ssp119,p90,2020-2039,57.3,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
"Macau, SAR",ssp119,p90,2020-2039,94.36,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Nei Mongol Zizhiqu,ssp119,p90,2020-2039,28.18,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Ningxia Huizu Zizhiqu,ssp119,p90,2020-2039,32.1,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Qinghai Sheng,ssp119,p90,2020-2039,13.56,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Shaanxi Sheng,ssp119,p90,2020-2039,47.38,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Shandong Sheng,ssp119,p90,2020-2039,61.65,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Shanghai Shi,ssp119,p90,2020-2039,72.08,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Shanxi Sheng,ssp119,p90,2020-2039,43.0,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Sichuan Sheng,ssp119,p90,2020-2039,36.86,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Tianjin Shi,ssp119,p90,2020-2039,56.38,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Xinjiang Uygur Zizhiqu,ssp119,p90,2020-2039,13.9,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Xizang Zizhiqu,ssp119,p90,2020-2039,41.44,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Yunnan Sheng,ssp119,p90,2020-2039,49.16,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Zhejiang Sheng,ssp119,p90,2020-2039,82.07,rx1day_CHNprov_ssp119_p90_2020-2039.xlsx
Anhui Sheng,ssp119,p90,2040-2059,71.35,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Beijing Shi,ssp119,p90,2040-2059,55.51,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Chongqing Shi,ssp119,p90,2040-2059,59.66,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Fujian Sheng,ssp119,p90,2040-2059,84.66,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Gansu Sheng,ssp119,p90,2040-2059,22.93,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Guangdong Sheng,ssp119,p90,2040-2059,92.45,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Guangxi Zhuangzu Zizhiqu,ssp119,p90,2040-2059,81.74,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Guizhou Sheng,ssp119,p90,2040-2059,54.12,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Hainan Sheng,ssp119,p90,2040-2059,105.14,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Hebei Sheng,ssp119,p90,2040-2059,49.19,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Heilongjiang Sheng,ssp119,p90,2040-2059,37.28,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Henan Sheng,ssp119,p90,2040-2059,62.01,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
"Hong Kong, SAR",ssp119,p90,2040-2059,92.14,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Hubei Sheng,ssp119,p90,2040-2059,68.77,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Hunan Sheng,ssp119,p90,2040-2059,72.26,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Jiangsu Sheng,ssp119,p90,2040-2059,69.06,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Jiangxi Sheng,ssp119,p90,2040-2059,79.34,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Jilin Sheng,ssp119,p90,2040-2059,46.01,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Liaoning Sheng,ssp119,p90,2040-2059,58.09,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
"Macau, SAR",ssp119,p90,2040-2059,96.52,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Nei Mongol Zizhiqu,ssp119,p90,2040-2059,28.4,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Ningxia Huizu Zizhiqu,ssp119,p90,2040-2059,32.35,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Qinghai Sheng,ssp119,p90,2040-2059,13.66,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Shaanxi Sheng,ssp119,p90,2040-2059,47.45,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Shandong Sheng,ssp119,p90,2040-2059,61.92,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Shanghai Shi,ssp119,p90,2040-2059,71.15,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Shanxi Sheng,ssp119,p90,2040-2059,43.53,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Sichuan Sheng,ssp119,p90,2040-2059,37.33,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Tianjin Shi,ssp119,p90,2040-2059,56.82,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Xinjiang Uygur Zizhiqu,ssp119,p90,2040-2059,13.98,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Xizang Zizhiqu,ssp119,p90,2040-2059,34.75,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Yunnan Sheng,ssp119,p90,2040-2059,50.01,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Zhejiang Sheng,ssp119,p90,2040-2059,81.97,rx1day_CHNprov_ssp119_p90_2040-2059.xlsx
Anhui Sheng,ssp119,p90,2060-2079,70.41,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Beijing Shi,ssp119,p90,2060-2079,55.29,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Chongqing Shi,ssp119,p90,2060-2079,58.48,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Fujian Sheng,ssp119,p90,2060-2079,84.15,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Gansu Sheng,ssp119,p90,2060-2079,22.75,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Guangdong Sheng,ssp119,p90,2060-2079,91.5,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Guangxi Zhuangzu Zizhiqu,ssp119,p90,2060-2079,80.85,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Guizhou Sheng,ssp119,p90,2060-2079,53.29,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Hainan Sheng,ssp119,p90,2060-2079,105.69,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Hebei Sheng,ssp119,p90,2060-2079,48.81,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Heilongjiang Sheng,ssp119,p90,2060-2079,36.87,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Henan Sheng,ssp119,p90,2060-2079,61.35,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
"Hong Kong, SAR",ssp119,p90,2060-2079,92.24,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Hubei Sheng,ssp119,p90,2060-2079,67.6,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Hunan Sheng,ssp119,p90,2060-2079,70.72,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Jiangsu Sheng,ssp119,p90,2060-2079,68.0,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Jiangxi Sheng,ssp119,p90,2060-2079,78.19,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Jilin Sheng,ssp119,p90,2060-2079,45.51,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Liaoning Sheng,ssp119,p90,2060-2079,58.06,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
"Macau, SAR",ssp119,p90,2060-2079,98.33,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Nei Mongol Zizhiqu,ssp119,p90,2060-2079,28.21,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Ningxia Huizu Zizhiqu,ssp119,p90,2060-2079,31.84,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Qinghai Sheng,ssp119,p90,2060-2079,13.45,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Shaanxi Sheng,ssp119,p90,2060-2079,46.82,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Shandong Sheng,ssp119,p90,2060-2079,61.47,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Shanghai Shi,ssp119,p90,2060-2079,70.69,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Shanxi Sheng,ssp119,p90,2060-2079,43.16,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Sichuan Sheng,ssp119,p90,2060-2079,36.91,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Tianjin Shi,ssp119,p90,2060-2079,56.11,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Xinjiang Uygur Zizhiqu,ssp119,p90,2060-2079,13.8,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Xizang Zizhiqu,ssp119,p90,2060-2079,36.43,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Yunnan Sheng,ssp119,p90,2060-2079,49.5,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Zhejiang Sheng,ssp119,p90,2060-2079,81.12,rx1day_CHNprov_ssp119_p90_2060-2079.xlsx
Anhui Sheng,ssp119,p90,2080-2099,69.57,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Beijing Shi,ssp119,p90,2080-2099,54.8,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Chongqing Shi,ssp119,p90,2080-2099,57.61,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Fujian Sheng,ssp119,p90,2080-2099,83.26,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Gansu Sheng,ssp119,p90,2080-2099,22.5,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Guangdong Sheng,ssp119,p90,2080-2099,90.8,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Guangxi Zhuangzu Zizhiqu,ssp119,p90,2080-2099,80.17,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Guizhou Sheng,ssp119,p90,2080-2099,52.43,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Hainan Sheng,ssp119,p90,2080-2099,106.19,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Hebei Sheng,ssp119,p90,2080-2099,48.5,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Heilongjiang Sheng,ssp119,p90,2080-2099,36.4,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Henan Sheng,ssp119,p90,2080-2099,60.79,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
"Hong Kong, SAR",ssp119,p90,2080-2099,91.19,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Hubei Sheng,ssp119,p90,2080-2099,66.76,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Hunan Sheng,ssp119,p90,2080-2099,69.79,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Jiangsu Sheng,ssp119,p90,2080-2099,67.48,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Jiangxi Sheng,ssp119,p90,2080-2099,77.04,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Jilin Sheng,ssp119,p90,2080-2099,44.98,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Liaoning Sheng,ssp119,p90,2080-2099,57.89,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
"Macau, SAR",ssp119,p90,2080-2099,97.24,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Nei Mongol Zizhiqu,ssp119,p90,2080-2099,28.05,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Ningxia Huizu Zizhiqu,ssp119,p90,2080-2099,31.56,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Qinghai Sheng,ssp119,p90,2080-2099,13.3,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Shaanxi Sheng,ssp119,p90,2080-2099,46.13,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Shandong Sheng,ssp119,p90,2080-2099,60.94,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Shanghai Shi,ssp119,p90,2080-2099,69.14,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Shanxi Sheng,ssp119,p90,2080-2099,42.88,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Sichuan Sheng,ssp119,p90,2080-2099,36.56,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Tianjin Shi,ssp119,p90,2080-2099,55.85,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Xinjiang Uygur Zizhiqu,ssp119,p90,2080-2099,13.72,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Xizang Zizhiqu,ssp119,p90,2080-2099,37.93,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Yunnan Sheng,ssp119,p90,2080-2099,49.21,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Zhejiang Sheng,ssp119,p90,2080-2099,79.85,rx1day_CHNprov_ssp119_p90_2080-2099.xlsx
Anhui Sheng,ssp126,median,2020-2039,54.07,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Beijing Shi,ssp126,median,2020-2039,38.37,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Chongqing Shi,ssp126,median,2020-2039,44.5,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Fujian Sheng,ssp126,median,2020-2039,64.82,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Gansu Sheng,ssp126,median,2020-2039,17.0,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Guangdong Sheng,ssp126,median,2020-2039,67.63,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Guangxi Zhuangzu Zizhiqu,ssp126,median,2020-2039,59.41,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Guizhou Sheng,ssp126,median,2020-2039,40.32,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Hainan Sheng,ssp126,median,2020-2039,71.39,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Hebei Sheng,ssp126,median,2020-2039,36.15,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Heilongjiang Sheng,ssp126,median,2020-2039,28.24,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Henan Sheng,ssp126,median,2020-2039,47.15,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
"Hong Kong, SAR",ssp126,median,2020-2039,64.8,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Hubei Sheng,ssp126,median,2020-2039,51.8,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Hunan Sheng,ssp126,median,2020-2039,54.59,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Jiangsu Sheng,ssp126,median,2020-2039,52.24,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Jiangxi Sheng,ssp126,median,2020-2039,60.89,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Jilin Sheng,ssp126,median,2020-2039,34.25,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Liaoning Sheng,ssp126,median,2020-2039,43.92,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
"Macau, SAR",ssp126,median,2020-2039,66.22,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Nei Mongol Zizhiqu,ssp126,median,2020-2039,20.91,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Ningxia Huizu Zizhiqu,ssp126,median,2020-2039,24.14,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Qinghai Sheng,ssp126,median,2020-2039,10.39,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Shaanxi Sheng,ssp126,median,2020-2039,36.23,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Shandong Sheng,ssp126,median,2020-2039,46.77,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Shanghai Shi,ssp126,median,2020-2039,53.88,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Shanxi Sheng,ssp126,median,2020-2039,33.25,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Sichuan Sheng,ssp126,median,2020-2039,27.89,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Taiwan Sheng,ssp126,median,2020-2039,146.34,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Tianjin Shi,ssp126,median,2020-2039,42.06,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Xinjiang Uygur Zizhiqu,ssp126,median,2020-2039,9.58,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Xizang Zizhiqu,ssp126,median,2020-2039,12.41,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Yunnan Sheng,ssp126,median,2020-2039,36.5,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Zhejiang Sheng,ssp126,median,2020-2039,62.66,rx1day_CHNprov_ssp126_median_2020-2039.xlsx
Anhui Sheng,ssp126,median,2040-2059,55.74,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Beijing Shi,ssp126,median,2040-2059,38.97,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Chongqing Shi,ssp126,median,2040-2059,45.66,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Fujian Sheng,ssp126,median,2040-2059,65.59,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Gansu Sheng,ssp126,median,2040-2059,17.46,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Guangdong Sheng,ssp126,median,2040-2059,69.64,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Guangxi Zhuangzu Zizhiqu,ssp126,median,2040-2059,61.18,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Guizhou Sheng,ssp126,median,2040-2059,41.24,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Hainan Sheng,ssp126,median,2040-2059,72.7,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Hebei Sheng,ssp126,median,2040-2059,36.31,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Heilongjiang Sheng,ssp126,median,2040-2059,28.96,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Henan Sheng,ssp126,median,2040-2059,47.59,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
"Hong Kong, SAR",ssp126,median,2040-2059,65.13,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Hubei Sheng,ssp126,median,2040-2059,53.32,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Hunan Sheng,ssp126,median,2040-2059,55.2,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Jiangsu Sheng,ssp126,median,2040-2059,54.23,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Jiangxi Sheng,ssp126,median,2040-2059,61.03,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Jilin Sheng,ssp126,median,2040-2059,35.35,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Liaoning Sheng,ssp126,median,2040-2059,43.1,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
"Macau, SAR",ssp126,median,2040-2059,68.62,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Nei Mongol Zizhiqu,ssp126,median,2040-2059,21.36,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Ningxia Huizu Zizhiqu,ssp126,median,2040-2059,24.82,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Qinghai Sheng,ssp126,median,2040-2059,10.71,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Shaanxi Sheng,ssp126,median,2040-2059,37.03,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Shandong Sheng,ssp126,median,2040-2059,47.1,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Shanghai Shi,ssp126,median,2040-2059,55.65,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Shanxi Sheng,ssp126,median,2040-2059,33.77,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Sichuan Sheng,ssp126,median,2040-2059,28.6,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Taiwan Sheng,ssp126,median,2040-2059,142.78,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Tianjin Shi,ssp126,median,2040-2059,42.84,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Xinjiang Uygur Zizhiqu,ssp126,median,2040-2059,9.8,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Xizang Zizhiqu,ssp126,median,2040-2059,12.74,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Yunnan Sheng,ssp126,median,2040-2059,37.44,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Zhejiang Sheng,ssp126,median,2040-2059,63.08,rx1day_CHNprov_ssp126_median_2040-2059.xlsx
Anhui Sheng,ssp126,median,2060-2079,56.21,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Beijing Shi,ssp126,median,2060-2079,40.61,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Chongqing Shi,ssp126,median,2060-2079,47.71,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Fujian Sheng,ssp126,median,2060-2079,67.47,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Gansu Sheng,ssp126,median,2060-2079,17.84,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Guangdong Sheng,ssp126,median,2060-2079,70.44,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Guangxi Zhuangzu Zizhiqu,ssp126,median,2060-2079,63.02,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Guizhou Sheng,ssp126,median,2060-2079,42.0,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Hainan Sheng,ssp126,median,2060-2079,75.6,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Hebei Sheng,ssp126,median,2060-2079,36.74,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Heilongjiang Sheng,ssp126,median,2060-2079,29.16,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Henan Sheng,ssp126,median,2060-2079,47.69,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
"Hong Kong, SAR",ssp126,median,2060-2079,68.36,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Hubei Sheng,ssp126,median,2060-2079,54.18,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Hunan Sheng,ssp126,median,2060-2079,56.46,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Jiangsu Sheng,ssp126,median,2060-2079,54.22,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
Jiangxi Sheng,ssp126,median,2060-2079,63.04,rx1day_CHNprov_ssp126_median_2060-2079.xlsx
