province,scenario,percentile,period,rx1day,source_file
Jiangxi Sheng,ssp119,median,2040-2059,59.06,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Jilin Sheng,ssp119,median,2040-2059,34.36,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Liaoning Sheng,ssp119,median,2040-2059,42.55,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
"Macau, SAR",ssp119,median,2040-2059,67.17,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Nei Mongol Zizhiqu,ssp119,median,2040-2059,20.72,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Ningxia Huizu Zizhiqu,ssp119,median,2040-2059,23.72,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Qinghai Sheng,ssp119,median,2040-2059,10.35,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Shaanxi Sheng,ssp119,median,2040-2059,35.98,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Shandong Sheng,ssp119,median,2040-2059,45.68,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Shanghai Shi,ssp119,median,2040-2059,53.96,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Shanxi Sheng,ssp119,median,2040-2059,33.32,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Sichuan Sheng,ssp119,median,2040-2059,27.63,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Tianjin Shi,ssp119,median,2040-2059,40.61,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Xinjiang Uygur Zizhiqu,ssp119,median,2040-2059,9.59,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Xizang Zizhiqu,ssp119,median,2040-2059,12.47,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Yunnan Sheng,ssp119,median,2040-2059,36.36,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Zhejiang Sheng,ssp119,median,2040-2059,61.73,rx1day_CHNprov_ssp119_median_2040-2059.xlsx
Anhui Sheng,ssp119,median,2060-2079,53.3,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Beijing Shi,ssp119,median,2060-2079,38.38,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Chongqing Shi,ssp119,median,2060-2079,43.63,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Fujian Sheng,ssp119,median,2060-2079,63.55,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Gansu Sheng,ssp119,median,2060-2079,16.78,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Guangdong Sheng,ssp119,median,2060-2079,67.13,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Guangxi Zhuangzu Zizhiqu,ssp119,median,2060-2079,59.08,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Guizhou Sheng,ssp119,median,2060-2079,39.72,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Hainan Sheng,ssp119,median,2060-2079,73.29,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Hebei Sheng,ssp119,median,2060-2079,35.48,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Heilongjiang Sheng,ssp119,median,2060-2079,27.9,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Henan Sheng,ssp119,median,2060-2079,45.53,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
"Hong Kong, SAR",ssp119,median,2060-2079,66.38,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Hubei Sheng,ssp119,median,2060-2079,50.92,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Hunan Sheng,ssp119,median,2060-2079,53.21,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Jiangsu Sheng,ssp119,median,2060-2079,51.83,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Jiangxi Sheng,ssp119,median,2060-2079,58.8,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Jilin Sheng,ssp119,median,2060-2079,34.08,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Liaoning Sheng,ssp119,median,2060-2079,42.58,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
"Macau, SAR",ssp119,median,2060-2079,67.81,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Nei Mongol Zizhiqu,ssp119,median,2060-2079,20.65,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Ningxia Huizu Zizhiqu,ssp119,median,2060-2079,23.6,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Qinghai Sheng,ssp119,median,2060-2079,10.25,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Shaanxi Sheng,ssp119,median,2060-2079,35.72,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Shandong Sheng,ssp119,median,2060-2079,45.38,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Shanghai Shi,ssp119,median,2060-2079,53.41,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Shanxi Sheng,ssp119,median,2060-2079,33.06,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Sichuan Sheng,ssp119,median,2060-2079,27.47,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Tianjin Shi,ssp119,median,2060-2079,40.63,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Xinjiang Uygur Zizhiqu,ssp119,median,2060-2079,9.51,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Xizang Zizhiqu,ssp119,median,2060-2079,12.47,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Yunnan Sheng,ssp119,median,2060-2079,36.34,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Zhejiang Sheng,ssp119,median,2060-2079,61.45,rx1day_CHNprov_ssp119_median_2060-2079.xlsx
Anhui Sheng,ssp119,median,2080-2099,52.96,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Beijing Shi,ssp119,median,2080-2099,38.11,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Chongqing Shi,ssp119,median,2080-2099,43.23,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Fujian Sheng,ssp119,median,2080-2099,62.97,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Gansu Sheng,ssp119,median,2080-2099,16.65,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Guangdong Sheng,ssp119,median,2080-2099,66.58,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Guangxi Zhuangzu Zizhiqu,ssp119,median,2080-2099,58.51,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Guizhou Sheng,ssp119,median,2080-2099,39.31,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Hainan Sheng,ssp119,median,2080-2099,73.78,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Hebei Sheng,ssp119,median,2080-2099,35.28,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Heilongjiang Sheng,ssp119,median,2080-2099,27.66,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Henan Sheng,ssp119,median,2080-2099,45.18,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
"Hong Kong, SAR",ssp119,median,2080-2099,65.77,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Hubei Sheng,ssp119,median,2080-2099,50.68,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Hunan Sheng,ssp119,median,2080-2099,52.93,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Jiangsu Sheng,ssp119,median,2080-2099,51.57,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Jiangxi Sheng,ssp119,median,2080-2099,58.13,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Jilin Sheng,ssp119,median,2080-2099,33.85,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Liaoning Sheng,ssp119,median,2080-2099,42.4,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
"Macau, SAR",ssp119,median,2080-2099,66.86,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Nei Mongol Zizhiqu,ssp119,median,2080-2099,20.54,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Ningxia Huizu Zizhiqu,ssp119,median,2080-2099,23.33,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Qinghai Sheng,ssp119,median,2080-2099,10.17,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Shaanxi Sheng,ssp119,median,2080-2099,35.52,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Shandong Sheng,ssp119,median,2080-2099,44.97,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Shanghai Shi,ssp119,median,2080-2099,52.73,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Shanxi Sheng,ssp119,median,2080-2099,32.98,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Sichuan Sheng,ssp119,median,2080-2099,27.37,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Tianjin Shi,ssp119,median,2080-2099,40.58,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Xinjiang Uygur Zizhiqu,ssp119,median,2080-2099,9.48,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Xizang Zizhiqu,ssp119,median,2080-2099,12.41,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Yunnan Sheng,ssp119,median,2080-2099,36.24,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Zhejiang Sheng,ssp119,median,2080-2099,60.73,rx1day_CHNprov_ssp119_median_2080-2099.xlsx
Anhui Sheng,ssp119,p10,2020-2039,39.31,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Beijing Shi,ssp119,p10,2020-2039,25.71,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Chongqing Shi,ssp119,p10,2020-2039,31.81,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Fujian Sheng,ssp119,p10,2020-2039,45.42,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Gansu Sheng,ssp119,p10,2020-2039,11.94,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Guangdong Sheng,ssp119,p10,2020-2039,46.2,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Guangxi Zhuangzu Zizhiqu,ssp119,p10,2020-2039,40.89,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Guizhou Sheng,ssp119,p10,2020-2039,28.78,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Hainan Sheng,ssp119,p10,2020-2039,46.15,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Hebei Sheng,ssp119,p10,2020-2039,24.41,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Heilongjiang Sheng,ssp119,p10,2020-2039,20.22,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Henan Sheng,ssp119,p10,2020-2039,32.47,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
"Hong Kong, SAR",ssp119,p10,2020-2039,45.18,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Hubei Sheng,ssp119,p10,2020-2039,36.96,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Hunan Sheng,ssp119,p10,2020-2039,38.97,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Jiangsu Sheng,ssp119,p10,2020-2039,37.88,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Jiangxi Sheng,ssp119,p10,2020-2039,43.3,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Jilin Sheng,ssp119,p10,2020-2039,24.37,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Liaoning Sheng,ssp119,p10,2020-2039,29.87,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
"Macau, SAR",ssp119,p10,2020-2039,45.39,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Nei Mongol Zizhiqu,ssp119,p10,2020-2039,14.28,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Ningxia Huizu Zizhiqu,ssp119,p10,2020-2039,16.58,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Qinghai Sheng,ssp119,p10,2020-2039,7.72,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Shaanxi Sheng,ssp119,p10,2020-2039,26.37,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Shandong Sheng,ssp119,p10,2020-2039,31.86,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Shanghai Shi,ssp119,p10,2020-2039,39.05,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Shanxi Sheng,ssp119,p10,2020-2039,23.62,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Sichuan Sheng,ssp119,p10,2020-2039,19.98,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Tianjin Shi,ssp119,p10,2020-2039,26.95,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Xinjiang Uygur Zizhiqu,ssp119,p10,2020-2039,6.31,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Xizang Zizhiqu,ssp119,p10,2020-2039,8.72,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Yunnan Sheng,ssp119,p10,2020-2039,25.52,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Zhejiang Sheng,ssp119,p10,2020-2039,44.25,rx1day_CHNprov_ssp119_p10_2020-2039.xlsx
Anhui Sheng,ssp119,p10,2040-2059,40.24,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Beijing Shi,ssp119,p10,2040-2059,25.93,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Chongqing Shi,ssp119,p10,2040-2059,32.69,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Fujian Sheng,ssp119,p10,2040-2059,45.75,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Gansu Sheng,ssp119,p10,2040-2059,12.12,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Guangdong Sheng,ssp119,p10,2040-2059,46.94,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Guangxi Zhuangzu Zizhiqu,ssp119,p10,2040-2059,41.62,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Guizhou Sheng,ssp119,p10,2040-2059,29.37,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Hainan Sheng,ssp119,p10,2040-2059,46.62,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Hebei Sheng,ssp119,p10,2040-2059,24.7,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Heilongjiang Sheng,ssp119,p10,2040-2059,20.63,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Henan Sheng,ssp119,p10,2040-2059,32.98,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
"Hong Kong, SAR",ssp119,p10,2040-2059,45.42,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Hubei Sheng,ssp119,p10,2040-2059,37.89,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Hunan Sheng,ssp119,p10,2040-2059,40.01,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Jiangsu Sheng,ssp119,p10,2040-2059,38.94,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Jiangxi Sheng,ssp119,p10,2040-2059,43.85,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Jilin Sheng,ssp119,p10,2040-2059,24.86,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Liaoning Sheng,ssp119,p10,2040-2059,30.18,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
"Macau, SAR",ssp119,p10,2040-2059,45.74,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Nei Mongol Zizhiqu,ssp119,p10,2040-2059,14.53,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Ningxia Huizu Zizhiqu,ssp119,p10,2040-2059,16.85,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Qinghai Sheng,ssp119,p10,2040-2059,7.83,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Shaanxi Sheng,ssp119,p10,2040-2059,26.82,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Shandong Sheng,ssp119,p10,2040-2059,32.16,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Shanghai Shi,ssp119,p10,2040-2059,40.06,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Shanxi Sheng,ssp119,p10,2040-2059,24.3,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Sichuan Sheng,ssp119,p10,2040-2059,20.31,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Tianjin Shi,ssp119,p10,2040-2059,27.41,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Xinjiang Uygur Zizhiqu,ssp119,p10,2040-2059,6.41,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Xizang Zizhiqu,ssp119,p10,2040-2059,8.85,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Yunnan Sheng,ssp119,p10,2040-2059,26.14,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Zhejiang Sheng,ssp119,p10,2040-2059,45.26,rx1day_CHNprov_ssp119_p10_2040-2059.xlsx
Anhui Sheng,ssp119,p10,2060-2079,40.05,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Beijing Shi,ssp119,p10,2060-2079,25.99,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Chongqing Shi,ssp119,p10,2060-2079,32.57,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Fujian Sheng,ssp119,p10,2060-2079,46.3,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Gansu Sheng,ssp119,p10,2060-2079,12.12,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Guangdong Sheng,ssp119,p10,2060-2079,47.41,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Guangxi Zhuangzu Zizhiqu,ssp119,p10,2060-2079,41.96,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Guizhou Sheng,ssp119,p10,2060-2079,29.53,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Hainan Sheng,ssp119,p10,2060-2079,47.16,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Hebei Sheng,ssp119,p10,2060-2079,24.96,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Heilongjiang Sheng,ssp119,p10,2060-2079,20.62,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Henan Sheng,ssp119,p10,2060-2079,33.18,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
"Hong Kong, SAR",ssp119,p10,2060-2079,46.52,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Hubei Sheng,ssp119,p10,2060-2079,37.86,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Hunan Sheng,ssp119,p10,2060-2079,40.05,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Jiangsu Sheng,ssp119,p10,2060-2079,38.72,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Jiangxi Sheng,ssp119,p10,2060-2079,44.13,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Jilin Sheng,ssp119,p10,2060-2079,24.94,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Liaoning Sheng,ssp119,p10,2060-2079,30.4,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
"Macau, SAR",ssp119,p10,2060-2079,46.49,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
Nei Mongol Zizhiqu,ssp119,p10,2060-2079,14.62,rx1day_CHNprov_ssp119_p10_2060-2079.xlsx
