province,province_code,year,time_key,scenario,statistic,tas,source_file,data_stage,Province
Anhui Sheng,CHN.147295898,1987,1987-07,historical,median,15.62,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1988,1988-07,historical,median,15.88,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1989,1989-07,historical,median,15.92,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1990,1990-07,historical,median,15.95,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1991,1991-07,historical,median,15.76,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1992,1992-07,historical,median,15.5,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1993,1993-07,historical,median,15.4,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1994,1994-07,historical,median,15.72,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1995,1995-07,historical,median,15.78,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1996,1996-07,historical,median,16.08,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1997,1997-07,historical,median,16.06,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1998,1998-07,historical,median,15.98,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1999,1999-07,historical,median,16.04,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2000,2000-07,historical,median,16.34,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2001,2001-07,historical,median,16.22,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2002,2002-07,historical,median,16.24,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2003,2003-07,historical,median,16.16,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2004,2004-07,historical,median,16.22,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2005,2005-07,historical,median,16.29,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2006,2006-07,historical,median,16.32,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2007,2007-07,historical,median,16.13,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2008,2008-07,historical,median,16.19,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2009,2009-07,historical,median,16.32,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2010,2010-07,historical,median,16.29,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2011,2011-07,historical,median,16.42,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2012,2012-07,historical,median,16.44,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2013,2013-07,historical,median,16.46,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2014,2014-07,historical,median,16.35,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1950,1950-07,historical,p10,14.95,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1951,1951-07,historical,p10,15.47,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1952,1952-07,historical,p10,15.11,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1953,1953-07,historical,p10,15.0,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1954,1954-07,historical,p10,14.87,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1955,1955-07,historical,p10,15.31,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1956,1956-07,historical,p10,15.18,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1957,1957-07,historical,p10,15.32,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1958,1958-07,historical,p10,15.22,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1959,1959-07,historical,p10,15.0,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1960,1960-07,historical,p10,14.83,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1961,1961-07,historical,p10,15.41,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1962,1962-07,historical,p10,15.39,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
