country,country_code,year,time_key,scenario,statistic,tas,source_file
China,CHN,2067,2067-07,ssp119,median,8.21,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2068,2068-07,ssp119,median,8.22,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2069,2069-07,ssp119,median,8.24,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2070,2070-07,ssp119,median,8.18,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2071,2071-07,ssp119,median,8.16,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2072,2072-07,ssp119,median,8.14,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2073,2073-07,ssp119,median,8.16,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2074,2074-07,ssp119,median,8.13,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2075,2075-07,ssp119,median,8.13,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2076,2076-07,ssp119,median,8.09,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2077,2077-07,ssp119,median,8.09,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2078,2078-07,ssp119,median,8.07,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2079,2079-07,ssp119,median,8.08,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2080,2080-07,ssp119,median,8.04,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2081,2081-07,ssp119,median,8.05,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2082,2082-07,ssp119,median,8.04,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2083,2083-07,ssp119,median,8.06,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2084,2084-07,ssp119,median,8.03,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2085,2085-07,ssp119,median,8.03,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2086,2086-07,ssp119,median,8.06,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2087,2087-07,ssp119,median,8.02,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2088,2088-07,ssp119,median,8.01,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2089,2089-07,ssp119,median,8.03,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2090,2090-07,ssp119,median,8.05,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2091,2091-07,ssp119,median,8.04,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2092,2092-07,ssp119,median,8.02,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2093,2093-07,ssp119,median,8.05,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2094,2094-07,ssp119,median,8.08,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2095,2095-07,ssp119,median,8.08,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2096,2096-07,ssp119,median,8.08,tas_timeseries_CHN_2015-2100_median_p10_p90.json
China,CHN,2097,2097-07,ssp119,median,8.12,tas_timeseries_CHN_2015-2100_median_p10_p90.json
