Province,province,province_code,scenario,statistic,future_reference_n,future_tas_sum,hist_reference_n,hist_tas_sum,reference_n,tas_ref_1991_2020,reference_period,reference_method,reference_hist_years,reference_future_years
云南,Yunnan Sheng,CHN.147295929,ssp585,p90,6,102.49,24,397.26,30,16.658333333333335,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp119,median,6,32.22,24,112.76,30,4.832666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp119,p10,6,25.599999999999998,24,89.71000000000001,30,3.8436666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp119,p90,6,37.68,24,132.48,30,5.672,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp126,median,6,32.24,24,112.76,30,4.833333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp126,p10,6,25.87,24,89.71000000000001,30,3.852666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp126,p90,6,37.95,24,132.48,30,5.681,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp245,median,6,32.27,24,112.76,30,4.834333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp245,p10,6,26.52,24,89.71000000000001,30,3.8743333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp245,p90,6,37.56,24,132.48,30,5.668,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp370,median,6,31.82,24,112.76,30,4.819333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp370,p10,6,24.58,24,89.71000000000001,30,3.8096666666666668,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp370,p90,6,37.730000000000004,24,132.48,30,5.673666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp585,median,6,33.24,24,112.76,30,4.866666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
内蒙古,Nei Mongol Zizhiqu,CHN.147295917,ssp585,p10,6,25.48,24,89.71000000000001,30,3.839666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
