Predictor,Coefficient,Dominance (95% CI),p value
省平均气温,0.6122,17.4% (0.4–55.1),0.4204
省平均降水,-0.0451,6.8% (0.3–30.2),0.5092
R1xday,-0.0024,0.5% (0.2–15.7),0.8986
PM2.5,-0.0039,0.2% (0.3–39.7),0.9222
医疗水平,0.1354,52.2% (0.7–60.8),0.1315
GDP,0.0049,2.5% (0.5–41.5),0.9663
城市用水普及率,0.0062,16.5% (0.1–38.5),0.7704
生活垃圾无害化处理率,-0.0013,0.4% (0.3–40.8),0.9496
抗菌药物使用强度,0.0094,3.4% (0.1–22.3),0.4591
Province,Yes,,
Year,Yes,,
R² (within),-0.63,..,..
Total number of observations,307,..,..
