role_id,role_label,model_id,scheme_id,fe_label,scenario_id,scenario_label,province_n,year_n,outcome_actual_mean,actual_pred_mean,counterfactual_pred_mean,actual_minus_counterfactual_mean,relative_change_pct_mean
main_model,主模型,SYS_08952 | Province: No / Year: Yes,SYS_08952,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773447e-05,-0.12248813272352838,0.12239477964094064,41.95598164426459
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773466e-05,-0.13500883327323016,0.13491548019064242,53.902137725875676
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,Province: No / Year: Yes,r1xday_plus_temperature_to_baseline,R1xday + 温度变量共同恢复基准,31,10,-9.335308258774442e-05,-9.335308258773466e-05,-0.1348546866001421,0.13476133351755437,53.9273970413168
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.335308258773466e-05,-0.020512730071551976,0.02041937698896424,10.153226328728273
strict_top_04,严筛模型 4,SYS_09941 | Province: No / Year: Yes,SYS_09941,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773466e-05,-0.11443530961117786,0.11434195652859012,41.48387272271394
strict_top_05,严筛模型 5,SYS_09926 | Province: No / Year: Yes,SYS_09926,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773141e-05,-0.13478487261752445,0.13469151953493672,53.88586916512519
strict_top_05,严筛模型 5,SYS_09926 | Province: No / Year: Yes,SYS_09926,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.335308258773141e-05,-0.020528388655597783,0.020435035573010053,10.114428679143892
strict_top_05,严筛模型 5,SYS_09926 | Province: No / Year: Yes,SYS_09926,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773141e-05,-0.1143498370445144,0.11425648396192667,41.48329791821845
strict_top_06,严筛模型 6,SYS_09927 | Province: No / Year: Yes,SYS_09927,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877305e-05,-0.15974759005436742,0.1596542369717797,57.896019812403004
strict_top_06,严筛模型 6,SYS_09927 | Province: No / Year: Yes,SYS_09927,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.33530825877305e-05,-0.020473734026062736,0.020380380943475003,4.565475433522791
strict_top_06,严筛模型 6,SYS_09927 | Province: No / Year: Yes,SYS_09927,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877305e-05,-0.13936720911089243,0.1392738560283047,47.413937638270355
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773358e-05,-0.1453104697631934,0.14521711668060566,58.9006660738885
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,Province: No / Year: Yes,r1xday_plus_temperature_to_baseline,R1xday + 温度变量共同恢复基准,31,10,-9.335308258774442e-05,-9.335308258773358e-05,-0.14459795956048366,0.14450460647789592,58.86953529506073
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.335308258773358e-05,-0.020999209363983463,0.020905856281395727,7.993454736935501
strict_top_07,严筛模型 7,SYS_09791 | Province: No / Year: Yes,SYS_09791,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.335308258773358e-05,-0.12369210327908794,0.12359875019650021,43.468732500116346
strict_top_08,严筛模型 8,SYS_09776 | Province: No / Year: Yes,SYS_09776,Province: No / Year: Yes,all_climate_to_baseline,所有气候变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877325e-05,-0.14429041897815031,0.1441970658955626,58.73338350107454
strict_top_08,严筛模型 8,SYS_09776 | Province: No / Year: Yes,SYS_09776,Province: No / Year: Yes,r1xday_to_baseline,仅 R1xday 恢复基准,31,10,-9.335308258774442e-05,-9.33530825877325e-05,-0.021070047901716762,0.02097669481912903,8.028069993749805
strict_top_08,严筛模型 8,SYS_09776 | Province: No / Year: Yes,SYS_09776,Province: No / Year: Yes,temperature_to_baseline,仅温度变量恢复基准,31,10,-9.335308258774442e-05,-9.33530825877325e-05,-0.12331372415902128,0.12322037107643355,43.44107654464886
