AMR,Predictor,Coef,CI_lo,CI_hi,p,N,R2_within
MRCNS,省平均气温,-2.9414250470771144,-16.542942083462613,10.660091989308382,0.6720265932317897,300,-0.5732359968618679
MRCNS,省平均降水,-0.8039226859301288,-2.5745659331004327,0.9667205612401749,0.37437044235996586,300,-0.5732359968618679
MRCNS,R1xday,-0.22815578688429133,-0.7231362990970653,0.2668247253284826,0.36715505299100126,300,-0.5732359968618679
MRCNS,PM2.5,-0.3437021669573498,-1.7148250797099442,1.0274207457952444,0.623629757731126,300,-0.5732359968618679
MRCNS,医疗水平,2.14419289226249,-2.2237118725704175,6.5120976570953975,0.3368921553548294,300,-0.5732359968618679
MRCNS,GDP,-1.3551216139068414,-3.9462874502896192,1.2360442224759365,0.3063291211489547,300,-0.5732359968618679
MRCNS,城市用水普及率,0.8887278569204237,-0.5537448670729656,2.331200580913813,0.22833956718226167,300,-0.5732359968618679
MRCNS,生活垃圾无害化处理率,-0.1935488056181879,-1.114030247980756,0.7269326367443802,0.6805963745407111,300,-0.5732359968618679
MRCNS,抗菌药物使用强度,-0.055782772889352364,-0.7030058372410416,0.5914402914623368,0.8659886222556392,300,-0.5732359968618679
VREFS,省平均气温,1.1248486361300596,-0.1405592058234031,2.390256478083522,0.08267827045627496,300,0.27856464737624853
VREFS,省平均降水,0.12798491643935403,-0.04481709311426127,0.3007869259929693,0.14783888124768874,300,0.27856464737624853
VREFS,R1xday,0.018366433975362677,-0.033161628527882445,0.0698944964786078,0.4854376900493027,300,0.27856464737624853
VREFS,PM2.5,-0.09363661757728492,-0.16012642253480747,-0.02714681261976236,0.006200207887377296,300,0.27856464737624853
VREFS,医疗水平,-0.12309534030921157,-0.3318513931765627,0.08566071255813956,0.24888377747043378,300,0.27856464737624853
VREFS,GDP,-0.06438813775817459,-0.3752146781865547,0.2464384026702055,0.6850749156195346,300,0.27856464737624853
VREFS,城市用水普及率,-0.05638486151530542,-0.14420449337345048,0.031434770342839646,0.20940312192817645,300,0.27856464737624853
VREFS,生活垃圾无害化处理率,-0.07500968089838463,-0.17657578167112142,0.026556419874352172,0.14899418941934517,300,0.27856464737624853
VREFS,抗菌药物使用强度,-0.01532549206983565,-0.05865698165458487,0.02800599751491357,0.4888141105712751,300,0.27856464737624853
VREFM,省平均气温,-5.724763764577139,-13.624910939782474,2.1753834106281964,0.15675793108517366,300,-0.170893984361429
VREFM,省平均降水,-0.23242109001488442,-0.8493175596112287,0.38447537958145983,0.4609300376528216,300,-0.170893984361429
VREFM,R1xday,-0.0690118260314744,-0.2707756331942406,0.1327519811312918,0.5032144611589859,300,-0.170893984361429
