Predictor,Coefficient,Dominance (95% CI),p value
省平均气温,0.658,17.4% (0.4–55.1),0.2133
省平均降水,0.0147,6.8% (0.3–30.2),0.7969
R1xday,-0.0043,0.5% (0.2–15.7),0.8389
PM2.5,0.043,0.2% (0.3–39.7),0.1703
医疗水平,-0.1853**,52.2% (0.7–60.8),0.0017
GDP,-0.258*,2.5% (0.5–41.5),0.0494
城市用水普及率,0.0011,16.5% (0.1–38.5),0.9666
生活垃圾无害化处理率,-0.0644*,0.4% (0.3–40.8),0.0258
抗菌药物使用强度,-0.0176,3.4% (0.1–22.3),0.3014
Province,Yes,,
Year,No,,
R² (within),0.54,..,..
Total number of observations,307,..,..
