Predictor,Coefficient,Dominance (95% CI),p value
省平均气温,0.0725,17.4% (0.4–55.1),0.5502
省平均降水,-0.1104,6.8% (0.3–30.2),0.4578
R1xday,0.1049,0.5% (0.2–15.7),0.1588
PM2.5,0.0823,0.2% (0.3–39.7),0.2764
医疗水平,0.1789,52.2% (0.7–60.8),0.1233
GDP,0.187*,2.5% (0.5–41.5),0.0231
城市用水普及率,-0.0673,16.5% (0.1–38.5),0.4308
生活垃圾无害化处理率,0.0403,0.4% (0.3–40.8),0.2184
抗菌药物使用强度,0.1159**,3.4% (0.1–22.3),0.0067
Province,No,,
Year,Yes,,
R² (within),-0.78,..,..
Total number of observations,307,..,..
