Province,region,region_en,region_order,ssp119,ssp585,scenario_gap,scenario_gap_abs,scenario_midpoint
宁夏,西北,Northwest China,7,9.663339240222223,10.942228129111111,1.278888888888888,1.278888888888888,10.302783684666668
上海,华东,East China,3,17.704729588888892,18.974729588888888,1.269999999999996,1.269999999999996,18.33972958888889
浙江,华东,East China,3,17.66614295666667,18.855031845555555,1.1888888888888864,1.1888888888888864,18.26058740111111
甘肃,西北,Northwest China,7,6.420002829111112,7.584447273555556,1.1644444444444435,1.1644444444444435,7.002225051333334
山西,华北,North China,1,10.151852539,11.291852539,1.1400000000000006,1.1400000000000006,10.721852539
西藏,西南,Southwest China,6,-1.4129046662222224,-0.280682444,1.1322222222222225,1.1322222222222225,-0.8467935551111112
青海,西北,Northwest China,7,-1.6973900573333331,-0.5873900573333334,1.1099999999999999,1.1099999999999999,-1.1423900573333332
黑龙江,东北,Northeast China,2,3.035323394444444,4.1342122833333335,1.0988888888888892,1.0988888888888892,3.584767838888889
新疆,西北,Northwest China,7,7.165273759444444,8.264162648333333,1.0988888888888884,1.0988888888888884,7.714718203888888
江苏,华东,East China,3,16.73436352,17.827696853333332,1.0933333333333337,1.0933333333333337,17.281030186666666
安徽,华东,East China,3,17.39236636,18.48458858222222,1.0922222222222189,1.0922222222222189,17.93847747111111
陕西,西北,Northwest China,7,11.962853866666666,13.050631644444444,1.0877777777777773,1.0877777777777773,12.506742755555555
四川,西南,Southwest China,6,8.851308510666666,9.926864066222224,1.0755555555555585,1.0755555555555585,9.389086288444446
内蒙古,华北,North China,1,5.490738735777778,6.544072069111111,1.0533333333333337,1.0533333333333337,6.017405402444444
吉林,东北,Northeast China,2,6.271000992666667,7.2798898815555555,1.0088888888888885,1.0088888888888885,6.775445437111111
山东,华东,East China,3,14.973705066666668,15.9470384,0.9733333333333327,0.9733333333333327,15.460371733333334
江西,华东,East China,3,19.28521080111111,20.256321912222223,0.9711111111111137,0.9711111111111137,19.770766356666666
重庆,西南,Southwest China,6,16.978869106666664,17.948869106666667,0.9700000000000024,0.9700000000000024,17.463869106666664
福建,华东,East China,3,19.73751791333333,20.70307346888889,0.9655555555555573,0.9655555555555573,20.22029569111111
贵州,西南,Southwest China,6,16.342082144444444,17.29874881111111,0.956666666666667,0.956666666666667,16.82041547777778
云南,西南,Southwest China,6,16.61454808,17.556770302222223,0.9422222222222238,0.9422222222222238,17.085659191111112
湖南,华中,Central China,4,18.39703374222222,19.32592263111111,0.9288888888888884,0.9288888888888884,18.861478186666666
河北,华北,North China,1,11.456163122222222,12.375052011111112,0.9188888888888904,0.9188888888888904,11.915607566666667
广东,华南,South China,5,22.493617835555558,23.39695116888889,0.9033333333333324,0.9033333333333324,22.945284502222222
河南,华中,Central China,4,16.393136947777776,17.29535917,0.9022222222222247,0.9022222222222247,16.844248058888887
湖北,华中,Central China,4,17.08327539111111,17.97216428,0.8888888888888928,0.8888888888888928,17.527719835555555
广西,华南,South China,5,21.335911906666663,22.221467462222225,0.8855555555555625,0.8855555555555625,21.778689684444444
辽宁,东北,Northeast China,2,9.702242074444444,10.563353185555554,0.8611111111111107,0.8611111111111107,10.132797629999999
北京,华北,North China,1,12.422550293333332,13.262550293333332,0.8399999999999999,0.8399999999999999,12.842550293333332
海南,华南,South China,5,25.351406014444446,26.15585045888889,0.8044444444444423,0.8044444444444423,25.753628236666668
天津,华北,North China,1,14.130060507777776,14.860060507777778,0.7300000000000022,0.7300000000000022,14.495060507777776
