Province,region,region_en,region_order,delta_mean_2050,delta_max_2050,delta_min_2050,scenario_pred_mean_2050,province_order
内蒙古,华北,North China,1,0.552282752687865,1.2993393032254386,0.0,35.65336978125223,0
北京,华北,North China,1,0.2642893370431621,0.7668805377851284,-0.2141194622148732,41.573129451803965,1
天津,华北,North China,1,0.12909277877542605,0.5262446678638448,-0.3724219988028223,37.12874360258328,2
河北,华北,North China,1,0.04019011663597608,0.5761614732965061,-0.4865051933701629,36.65369159364388,3
山西,华北,North China,1,-0.09114320948743904,0.5910948152817397,-0.6642385180515931,35.25372653709246,4
黑龙江,东北,Northeast China,2,0.510126963280614,1.3305523559367365,0.0,32.64604579740563,5
辽宁,东北,Northeast China,2,0.2586603995297497,0.7829258127690331,-0.2544075205643015,29.806093109776487,6
吉林,东北,Northeast China,2,-0.13209562078087334,0.4819519217296188,-0.7373814116037152,40.7287102083327,7
福建,华东,East China,3,0.35093642276327014,1.02679037398259,-0.0232096260174109,29.894435801658318,8
浙江,华东,East China,3,0.3175655028866717,1.1846786034640069,-0.1126547298693274,29.465593703470148,9
上海,华东,East China,3,0.14301275287606938,1.0442153034512824,-0.3327846965487164,34.5415889000249,10
安徽,华东,East China,3,0.07315997219805245,0.780058633304328,-0.4222747000290041,30.406277497463194,11
江苏,华东,East China,3,-0.021963931543166764,0.6667766154815338,-0.530223384518469,20.103078587626364,12
江西,华东,East China,3,-0.06391904698850125,0.5276971436137967,-0.5663028563862007,35.319295773346674,13
山东,华东,East China,3,-0.19071972009652746,0.3382696692175011,-0.746396997449166,35.30044611319867,14
河南,华中,Central China,4,-0.7823358540287516,0.0,-1.4464696915011677,37.421441073986934,15
湖南,华中,Central China,4,-0.8734601259895043,0.0,-1.5384854845207387,35.575566707015426,16
湖北,华中,Central China,4,-1.0081982749607696,0.0,-1.7100379299529234,31.959978930165107,17
海南,华南,South China,5,0.37932749416568595,0.9477263263321578,0.0,30.442810900340884,18
广东,华南,South China,5,0.3458702902817789,0.979444348338134,-0.0092223183285331,27.200045712076093,19
广西,华南,South China,5,-0.6704008440342194,0.0,-1.252947679507728,31.20602374546881,20
西藏,西南,Southwest China,6,1.2084637277299841,2.114156473275981,0.0,37.91031010164265,21
四川,西南,Southwest China,6,-0.00994035857218852,0.6442715697133743,-0.5380617636199607,29.105524174790244,22
云南,西南,Southwest China,6,-0.23572043860734623,0.2682688070045183,-0.716064526328817,40.16875036193016,23
贵州,西南,Southwest China,6,-0.6492927323654385,0.0,-1.26728461217186,38.1521400950169,24
重庆,西南,Southwest China,6,-0.7106852859663269,0.0,-1.3764890098262588,32.63938008878163,25
青海,西北,Northwest China,7,1.269496933673562,2.179796320408274,0.0,36.491546025843455,26
宁夏,西北,Northwest China,7,0.28451150987359836,1.1729471451816516,-0.2277195214850145,28.648728092769066,27
甘肃,西北,Northwest China,7,0.13707225648920754,0.8858200411203818,-0.3968466255462843,35.52328435098826,28
陕西,西北,Northwest China,7,-0.11663810817943109,0.5243676035180158,-0.6852990631486491,25.171153695374315,29
新疆,西北,Northwest China,7,-0.8973762136811784,0.0,-1.6623847897507469,34.73489599098477,30
