variant_label,n_models,mean_main_r1xday,mean_main_amc,share_main_r1xday_prob_gt_095,share_main_amc_prob_gt_095,mean_interaction,share_interaction_prob_gt_095
Province + year additive,12,-0.00017699424928745004,0.0087369501342793,0.0,0.0,,0.0
Province + year amplification,12,-0.00836815786069405,0.012290356764819292,0.0,0.0,0.017154058539951184,0.0
Province-only additive,12,-0.0013051568264201084,0.009422755539385166,0.0,0.0,,0.0
Province-only amplification,12,-0.017131657237939173,0.015386834637814867,0.0,0.0,0.03211994937131161,0.75
Year-only additive,12,0.13459946446873827,0.10741154645637685,1.0,1.0,,0.0
Year-only amplification,12,0.13041351140579646,0.11066741475419793,1.0,1.0,0.015534932475998159,0.0
