Predictor,Coefficient,95% CI,p value
GDP,-0.036,"(-0.2657, 0.1937)",0.7578
文盲比例,0.0836,"(-0.0323, 0.1995)",0.1568
人均日生活用水量(升),0.0141,"(-0.0948, 0.1230)",0.7991
"牲畜饲养
-猪年底头数",-0.1029,"(-0.3309, 0.1251)",0.3748
主要城市日照时数,-0.0087,"(-0.0886, 0.0712)",0.8301
Province,Yes,,
Year,Yes,,
R-squared,0.021,,
R-squared (Overall),-0.205,,
R² (within),0.023,,
Total number of observations,307,,
,,,
方案C_污染替代组 | Province: No / Year: Yes,,,
省平均气温,-0.0846,"(-0.2366, 0.0675)",0.2746
R1xday,0.048,"(-0.0490, 0.1450)",0.3308
氮氧化物,0.1042,"(-0.0535, 0.2620)",0.1946
抗菌药物使用强度,0.1119**,"(0.0406, 0.1832)",0.0022
可支配收入,0.2876***,"(0.1494, 0.4258)",<0.0001
建成区绿化覆盖率,0.1292*,"(0.0137, 0.2447)",0.0285
人均日生活用水量(升),-0.0511,"(-0.1931, 0.0910)",0.4796
"牲畜饲养
-猪年底头数",0.1535,"(-0.0201, 0.3271)",0.083
Province,No,,
Year,Yes,,
R-squared,0.532,,
R-squared (Overall),0.269,,
R² (within),-0.66,,
Total number of observations,307,,
,,,
方案C_污染替代组 | Province: Yes / Year: No,,,
省平均气温,0.7008,"(-0.2582, 1.6599)",0.1514
R1xday,0.0085,"(-0.0168, 0.0339)",0.5087
氮氧化物,0.2344***,"(0.1297, 0.3391)",<0.0001
抗菌药物使用强度,-0.0125,"(-0.0447, 0.0196)",0.4432
可支配收入,-0.2876***,"(-0.3896, -0.1855)",<0.0001
建成区绿化覆盖率,-0.0678,"(-0.1586, 0.0230)",0.1429
人均日生活用水量(升),-0.0312,"(-0.1166, 0.0542)",0.4726
"牲畜饲养
-猪年底头数",0.1086,"(-0.0176, 0.2348)",0.0914
Province,Yes,,
Year,No,,
R-squared,0.607,,
R-squared (Overall),-1.07,,
R² (within),0.607,,
Total number of observations,307,,
,,,
方案C_污染替代组 | Province: Yes / Year: Yes,,,
省平均气温,0.5507,"(-0.8567, 1.9580)",0.4417
R1xday,-0.0037,"(-0.0379, 0.0305)",0.8332
氮氧化物,0.0412,"(-0.0513, 0.1338)",0.3812
抗菌药物使用强度,0.0089,"(-0.0185, 0.0363)",0.5237
可支配收入,0.0794,"(-0.1127, 0.2714)",0.4165
建成区绿化覆盖率,0.0989,"(-0.0216, 0.2194)",0.1074
人均日生活用水量(升),0.0128,"(-0.0861, 0.1117)",0.7991
"牲畜饲养
-猪年底头数",-0.0849,"(-0.2735, 0.1037)",0.3763
Province,Yes,,
Year,Yes,,
R-squared,0.043,,
R-squared (Overall),-0.52,,
R² (within),-0.376,,
Total number of observations,307,,
,,,
