Province,region,region_en,region_order,delta_mean_2050,delta_max_2050,delta_min_2050,scenario_pred_mean_2050,province_order
天津,华北,North China,1,1.247404721163096,2.698504721316791,-1.5750220125471586,30.10253109907308,0
内蒙古,华北,North China,1,0.7204289998164999,2.5712465895993226,-1.978994608681571,30.700372203259548,1
北京,华北,North China,1,-0.08131729347978478,1.3958115962773192,-2.359504398682901,35.67912611753074,2
山西,华北,North China,1,-0.4476235232884462,1.2965952884478291,-1.915897221310065,29.10517653845346,3
河北,华北,North China,1,-1.2459500253663762,0.0585306574382329,-2.248483369323239,27.371232317929895,4
黑龙江,东北,Northeast China,2,0.848201009022158,2.6413303711419154,-0.7597494856615654,29.552213051126486,5
辽宁,东北,Northeast China,2,0.23791090626863878,1.3752690560721916,-0.8624537730996806,19.05491874292998,6
吉林,东北,Northeast China,2,-0.8366131285698373,0.854860304721619,-2.5336400712126306,29.54659514474328,7
浙江,华东,East China,3,2.267682867375926,4.633604374683735,-1.2348950453802487,22.688447441742408,8
安徽,华东,East China,3,1.6578494033948725,3.1968596884480505,0.6474462713005984,21.581624309492977,9
福建,华东,East China,3,0.8807671604486925,2.695481445009918,-2.009087457084405,22.765501784304018,10
江苏,华东,East China,3,-0.2474263910923682,1.3849569754447657,-1.315483637007869,24.233177436331214,11
上海,华东,East China,3,-0.3368149623196679,1.6146360536968416,-1.2602015907266375,28.292844507631187,12
江西,华东,East China,3,-0.541944689471818,1.1355113915776125,-2.4831269594975645,29.130318680177876,13
山东,华东,East China,3,-0.8197287329543634,0.4385405974658347,-1.878967540352804,25.22949312917568,14
湖南,华中,Central China,4,-1.9382887533546693,-0.7347480766835126,-2.89537764884777,28.44411087143872,15
湖北,华中,Central China,4,-1.940331471467361,-0.9885823303567882,-3.208671953072308,27.868787273282,16
河南,华中,Central China,4,-3.9222282715985695,-1.6717259260067436,-5.4439618376563566,16.836949474414375,17
广东,华南,South China,5,2.3472507535565588,4.126793655857568,-0.902945553749273,32.57461459524427,18
海南,华南,South China,5,1.4542623684309983,3.179088224506785,-0.7972280224758208,28.667041111695706,19
广西,华南,South China,5,-0.3088651902907789,0.7967916938420601,-1.242492283493732,30.1207706612841,20
西藏,西南,Southwest China,6,2.2421846400474554,4.496360757308789,-2.412984777055094,30.439927474327764,21
四川,西南,Southwest China,6,0.070231610068386,1.511439264874749,-0.9464164631704116,29.24399825475425,22
云南,西南,Southwest China,6,-0.5032139713827094,0.7997824894955201,-1.409671321014763,29.41683418452592,23
重庆,西南,Southwest China,6,-1.6186248645825294,-0.349846623575111,-2.646049362061138,28.094055083525642,24
贵州,西南,Southwest China,6,-1.6561791627051818,-0.2818017965736814,-2.8606988904773054,17.72646187384651,25
青海,西北,Northwest China,7,2.2056743497366536,4.413207519022222,-2.280313748939058,27.32803585769979,26
宁夏,西北,Northwest China,7,0.3232753918329531,2.5844591239206807,-2.5747799093247927,25.836221785253773,27
甘肃,西北,Northwest China,7,0.16166163469594844,1.826503662627232,-1.0310669671204806,28.92184139155161,28
陕西,西北,Northwest China,7,-0.2911266862132482,0.9879485166527964,-1.4932736237877435,31.561945269695585,29
新疆,西北,Northwest China,7,-2.2888526869191597,-0.8477684809210082,-3.3077549234334107,23.03482700695292,30
