Province,region,region_en,region_order,delta_mean_2050,delta_max_2050,delta_min_2050,scenario_pred_mean_2050,province_order
内蒙古,华北,North China,1,0.662739303225438,1.2993393032254386,0.0833393032254372,30.670767566780246,0
北京,华北,North China,1,0.31714720445179456,0.7668805377851284,-0.2141194622148732,35.810687501404665,1
天津,华北,North China,1,0.15491133453051126,0.5262446678638448,-0.3724219988028223,30.875790388382164,2
河北,华北,North China,1,0.0482281399631713,0.5761614732965061,-0.4865051933701629,27.227411203305444,3
山西,华北,North China,1,-0.10937185138492685,0.5910948152817397,-0.6642385180515931,29.50498643475233,4
黑龙江,东北,Northeast China,2,0.6121523559367368,1.3305523559367365,0.0155523559367369,29.349062198975865,5
辽宁,东北,Northeast China,2,0.31039247943569964,0.7829258127690331,-0.2544075205643015,18.875641410510504,6
吉林,东北,Northeast China,2,-0.158514744937048,0.4819519217296188,-0.7373814116037152,29.97810060972579,7
福建,华东,East China,3,0.4211237073159242,1.02679037398259,-0.0232096260174109,23.12984503610335,8
浙江,华东,East China,3,0.381078603464006,1.1846786034640069,-0.1126547298693274,23.567027565444725,9
上海,华东,East China,3,0.17161530345128326,1.0442153034512824,-0.3327846965487164,28.194452829621504,10
安徽,华东,East China,3,0.08779196663766295,0.780058633304328,-0.4222747000290041,21.972233671537207,11
江苏,华东,East China,3,-0.026356717851800115,0.6667766154815338,-0.530223384518469,24.473111505666576,12
江西,华东,East China,3,-0.07670285638620149,0.5276971436137967,-0.5663028563862007,29.58269803881011,13
山东,华东,East China,3,-0.22886366411583295,0.3382696692175011,-0.746396997449166,25.40361639062579,14
河南,华中,Central China,4,-0.938803024834502,-0.4211363581678355,-1.4464696915011677,16.610630435986522,15
湖南,华中,Central China,4,-1.0481521511874052,-0.499818817854071,-1.5384854845207387,29.454556400444176,16
湖北,华中,Central China,4,-1.2098379299529234,-0.7047045966195888,-1.7100379299529234,28.7563601404212,17
海南,华南,South China,5,0.45519299299882315,0.9477263263321578,0.074059659665493,28.96029313387076,18
广东,华南,South China,5,0.41504434833813464,0.979444348338134,-0.0092223183285331,33.36553260772464,19
广西,华南,South China,5,-0.8044810128410633,-0.2719476795077302,-1.252947679507728,31.10632233860854,20
西藏,西南,Southwest China,6,1.450156473275981,2.114156473275981,0.8821564732759808,30.218469597951866,21
四川,西南,Southwest China,6,-0.011928430286626223,0.6442715697133743,-0.5380617636199607,29.40377652511687,22
云南,西南,Southwest China,6,-0.2828645263288155,0.2682688070045183,-0.716064526328817,29.889859243820478,23
贵州,西南,Southwest China,6,-0.7791512788385262,-0.2176179455051947,-1.26728461217186,18.651852884468006,24
重庆,西南,Southwest China,6,-0.8528223431595923,-0.2801556764929249,-1.3764890098262588,28.935310889120814,25
青海,西北,Northwest China,7,1.5233963204082743,2.179796320408274,0.9474629870749413,26.962572840600473,26
宁夏,西北,Northwest China,7,0.34141381184831804,1.1729471451816516,-0.2277195214850145,26.179606719342246,27
甘肃,西北,Northwest China,7,0.16448670778704905,0.8858200411203818,-0.3968466255462843,29.038739556826748,28
陕西,西北,Northwest China,7,-0.1399657298153173,0.5243676035180158,-0.6852990631486491,31.62995962432392,29
新疆,西北,Northwest China,7,-1.076851456417414,-0.4267181230840808,-1.6623847897507469,24.09328235440973,30
